title,url,servings,prepTime,cookTime,totalTime,ingredients,directions,nutrition_calories,nutrition_total_fat,nutrition_saturated_fat,nutrition_cholesterol,nutrition_sodium,nutrition_total_carbohydrate,nutrition_dietary_fiber,nutrition_total_sugars,nutrition_protein,nutrition_vitamin_c,nutrition_calcium,nutrition_iron,nutrition_potassium
Authentic Greek Moussaka,https://www.allrecipes.com/recipe/278769/authentic-greek-moussaka/,8,30m,1h 35m,2h 50m,"4 medium eggplants, cut lengthwise into 1/3-inch slices | salt to taste | 4 cups milk | 1 stick butter | 6 tablespoons all-purpose flour | 3 large egg yolks, beaten | 7 tablespoons olive oil, divided | 2 medium onions, grated | 3 cloves garlic, finely chopped | 1 pound lean ground beef | 0.5 teaspoon ground allspice | 0.5 teaspoon white sugar | 1 pinch ground cinnamon | salt and ground black pepper to taste | 1 (14 ounce) can tomato sauce | 4 tablespoons chopped fresh parsley | 1 large egg white, lightly beaten | 1.5 cups freshly grated Parmesan cheese","2. Gather the ingredients. | 3. Sprinkle eggplant slices with salt and place in a colander set in the sink or over a plate. Let sit for 30 minutes to 1 hour so the salt can draw out any bitterness. | 4. Meanwhile, to make bechamel sauce: Heat milk in a saucepan almost to a boil. Melt butter in a skillet over medium heat. Whisk in flour until a smooth paste forms. Lower heat and gradually pour in hot milk, whisking constantly until bechamel sauce thickens. Season with salt. Remove from heat and allow to cool slightly. | 5. Rinse eggplant slices under cold running water. Squeeze out liquid and pat dry with paper towels. | 6. Whisk egg yolks into the cooled bechamel. | 7. Heat 3 tablespoons olive oil in a large skillet and cook eggplant slices in batches until each side is lightly browned, about 3 minutes per side. Drain on a large plate lined with paper towels. | 8. Preheat the oven to 375 degrees F (190 degrees C). Grease a 9x13-inch baking dish with olive oil. Heat remaining 4 tablespoons olive oil in a large skillet over low heat. Cook grated onion until soft, about 4 minutes. Add garlic and cook for 1 minute. Increase heat to medium-high and add ground beef. Cook and stir until browned and crumbly, about 5 minutes. Season with allspice, sugar, cinnamon, salt, and pepper. | 9. Stir in tomato sauce and bring to a simmer. Cook until all excess liquid has evaporated and mixture appears dry, 15 to 20 minutes. Stir in parsley and remove from heat. Allow to cool slightly, then stir in the egg white. | 10. Arrange a layer of eggplant in the prepared baking dish. Cover eggplant with all of the beef mixture and sprinkle with 1/3 of the Parmesan cheese. Cover with remaining eggplant and sprinkle another 1/3 of Parmesan cheese on top. Pour bechamel sauce over the top and sprinkle with remaining Parmesan cheese. | 11. Bake in the preheated oven until the top of the moussaka is set and golden, 45 minutes to 1 hour. Remove from oven and let rest at room temperature for 10 to 15 minutes before slicing and serving.",617kcal,44g,19g,173mg,678mg,33g,11g,not provided,26g,not provided,not provided,not provided,not provided
Red Currant Pie,https://www.allrecipes.com/recipe/18480/red-currant-pie/,10,20m,35m,1h 25m,"1.5 cups all-purpose flour | 1 teaspoon baking powder | 0.5 cup butter, softened | 0.5 cup white sugar | 2 large eggs, separated | 1.5 teaspoons grated lemon zest | 0.5 cup white sugar | 2 teaspoons cornstarch | 2.25 cups red currants","2. Make the dough: Sift flour and baking powder into a medium bowl. Mix in butter, sugar, egg yolks, and lemon zest until a dough forms. Cover and let rest in a cool place for 30 minutes. Set egg whites aside for the filling. | 3. Preheat the oven to 325 degrees F (165 degrees C). Grease the bottom and sides of a 10-inch springform pan. | 4. Roll dough into a 10-inch circle; place into the prepared springform pan. | 5. Bake in the preheated oven until golden, about 25 minutes. | 6. Meanwhile, make the filling: Beat reserved egg whites in a glass, metal, or ceramic bowl until stiff. Gradually mix in sugar and cornstarch, then beat for 5 minutes. Fold in currants, then pour over crust in the springform pan. | 7. Return to the oven and bake until top is lightly browned, about 10 minutes. Cool to room temperature before serving.",257kcal,10g,6g,65mg,115mg,39g,2g,22g,4g,11mg,39mg,1mg,108mg
Greek Orzo Salad,https://www.allrecipes.com/recipe/19389/greek-orzo-salad/,6,15m,10m,1h 25m,"1.5 cups uncooked orzo pasta | 2 (6 ounce) cans marinated artichoke hearts | 1 cucumber, seeded and chopped | 1 tomato, seeded and chopped | 1 red onion, chopped | 1 cup crumbled feta cheese | 1 (2 ounce) can black olives, drained | 0.25 cup chopped fresh parsley | 1 tablespoon lemon juice | 0.5 teaspoon dried oregano | 0.5 teaspoon lemon pepper","2. Bring a large pot of lightly salted water to a boil. Add pasta and cook until al dente, 8 to 10 minutes; drain. | 3. Drain artichoke hearts, reserving liquid. | 4. Gather prepared ingredients together. | 5. Combine pasta, artichoke hearts, cucumber, tomato, onion, feta, olives, parsley, lemon juice, oregano, and lemon pepper in a large bowl; toss well. Chill in the refrigerator for 1 hour. | 6. Just before serving, drizzle reserved artichoke marinade over salad. | 7. Enjoy!",393kcal,13g,5g,22mg,968mg,57g,7g,7g,14g,23mg,180mg,3mg,624mg
Kraut Bierocks,https://www.allrecipes.com/recipe/23893/kraut-bierocks/,10,45m,1h 0m,1h 45m,"1.5 (.25 ounce) packages active dry yeast | 0.5 cup white sugar | 2 cups warm water | 4 cups all-purpose flour | 0.5 cup powdered milk | 1.5 teaspoons baking powder | 0.5 cup shortening | 1 pound lean ground beef | 1 pound ground Italian sausage | 1 cup chopped onion | 3 cups shredded cabbage | 3 tablespoons prepared mustard | 2 teaspoons salt | 2 teaspoons ground black pepper | 0.5 cup shredded, processed American cheese | 0.5 cup shredded Cheddar cheese","2. To Make Sweet Dough: In a medium bowl combine the yeast, sugar and water and mix together; let stand 10 minutes. Stir in flour, dry milk, baking powder and shortening, then knead mixture for 10 minutes, adding as little flour as necessary. Cover bowl with a damp cloth and let rise in a warm place for 30 minutes, then knead again. | 3. To Make Filling: Meanwhile, brown beef, sausage and onion in a large skillet over medium high heat. Drain extra fat from skillet, then stir in cabbage, mustard, salt and pepper and cook for 5 minutes. Add cheese and cook, stirring, until cheese is melted. | 4. Preheat oven to 350 degrees F (175 degrees C). | 5. Flatten a piece of dough. Place large spoonful of meat filling onto dough and fold over to form a round bun. Lay folded-side-down in a lightly greased 9x13 inch baking dish. Repeat with remaining dough and filling. | 6. Bake in preheated oven for 20 minutes, or until golden brown.",630kcal,34g,13g,69mg,1129mg,55g,2g,14g,25g,2mg,194mg,4mg,443mg
Miso and Soy Chilean Sea Bass,https://www.allrecipes.com/recipe/190094/miso-and-soy-chilean-sea-bass/,4,10m,10m,3h 20m,"0.33333334326744 cup sake | 0.33333334326744 cup mirin (Japanese sweet rice wine) | 0.33333334326744 cup miso paste | 0.25 cup packed brown sugar | 3 tablespoons soy sauce | 4 (4 ounce) fillets fresh sea bass, about 1 inch thick | 2 tablespoons chopped green onion","2. Whisk together sake, mirin, miso paste, brown sugar, and soy sauce in a bowl. | 3. Place sea bass fillets in a large resealable plastic bag; pour marinade over fillets. Chill in the refrigerator for 3 to 6 hours. | 4. Preheat the oven&#39;s broiler and set the oven rack about 6 inches from the heat source. Prop the oven door to remain slightly ajar. | 5. Arrange fillets on a baking sheet; discard marinade. | 6. Broil sea bass in the preheated oven until fish flakes easily with a fork, 7 to 9 minutes. | 7. Sprinkle with chopped green onions to serve.",287kcal,4g,1g,47mg,1613mg,28g,1g,22g,25g,1mg,42mg,1mg,393mg
Quick and Easy Pancit,https://www.allrecipes.com/recipe/47015/quick-and-easy-pancit/,6,15m,15m,30m,"1 (12 ounce) package dried rice noodles | 1 teaspoon vegetable oil | 1 onion, finely diced | 3 cloves garlic, minced | 2 cups diced cooked chicken breast meat | 1 small head cabbage, thinly sliced | 4 carrot, thinly sliced | 0.25 cup soy sauce | 2 lemons - cut into wedges, for garnish","2. Gather all ingredients. | 3. Place rice noodles in a large bowl; cover with warm water and let soften for 8 to 10 minutes. Drain and set aside. | 4. Meanwhile, heat oil in a wok or large skillet over medium-low heat. Add onion and garlic; cook and stir until onion is tender, about 3 to 5 minutes. Stir in chicken, cabbage, carrots, and soy sauce. Cook until cabbage begins to soften. | 5. Toss in noodles and cook, stirring constantly, until heated through. | 6. Transfer pancit to a serving dish and garnish with lemon wedges.",369kcal,5g,1g,35mg,789mg,65g,7g,7g,18g,76mg,110mg,2mg,568mg
Lamb (Gosht) Biryani,https://www.allrecipes.com/recipe/212487/lamb-gosht-biryani/,8,25m,1h 0m,1h 25m,"2.5 cups basmati rice | 0.25 cup cooking oil | 8 whole cloves | 4 black cardamom pods | 4 cinnamon sticks | 4 large onions, sliced thin | 1 tablespoon garlic paste | 1 tablespoon ginger paste | 0.25 cup chopped fresh cilantro leaves | 3 tablespoons chopped fresh mint leaves | 1 pound lamb chops | salt to taste | 3 tomatoes, chopped | 4 green chile peppers, halved lengthwise | 2 teaspoons ground red pepper | 2 tablespoons plain yogurt | 2 tablespoons lemon juice | 7.5 cups water | 1 teaspoon salt | 1 tablespoon vegetable oil | 1 onion, sliced | 0.5 teaspoon saffron | 2 tablespoons warm milk","2. Gather all ingredients. | 3. Place basmati rice in a large container and cover with several inches of cool water; let stand 30 minutes. Drain. | 4. Heat 1/4 cup oil in a large skillet over medium heat; add cloves, cardamom pods, and cinnamon sticks and cook in the hot oil until fragrant, about 1 minute. Add onions; cook and stir until onions are lightly browned, about 5 minutes. Stir garlic paste and ginger paste into onion mixture; cook until fragrant, about 1 minute. Sprinkle cilantro and mint over onion mixture and cook 1 minute more. | 5. Add lamb chops to the skillet; season with salt. Cook lamb until chops are browned on both sides, about 20 minutes. | 6. Stir in tomatoes, green chile peppers, and ground red pepper; continue cooking until oil begins to separate from the sauce, about 10 minutes. Add yogurt and lemon juice; cover and cook until the lamb is tender, about 15 minutes. Add some water as needed to keep mixture from getting too dry. | 7. Place rice, 7 ½ cups water, and 1 teaspoon salt in a saucepan; bring to a boil and simmer until rice is nearly done yet a little chewy, 10 to 15 minutes. Drain any excess water. | 8. Heat 1 tablespoon oil in a small skillet; add sliced onion and cook until lightly browned. | 9. Layer about ½ of the rice in the bottom of a deep pot with a lid. Spoon the lamb masala mixture over the rice. Spread fried onion over lamb masala. Top with remaining rice. | 10. Stir saffron and warm milk together in a small bowl; pour over top layer of rice. Cover the pot with the lid and place the pot over low heat; cook until the rice is thoroughly cooked, about 15 minutes. | 11. Serve and enjoy!",544kcal,25g,9g,43mg,429mg,64g,5g,8g,17g,71mg,92mg,3mg,539mg
California Roll,https://www.allrecipes.com/recipe/228953/california-roll/,5,1h 0m,20m,1h 50m,"4 cups water | 2 cups uncooked white rice | 0.5 cup seasoned rice vinegar | 1 teaspoon white sugar, or to taste | 1 teaspoon salt, or to taste | 0.25 pound cooked crab meat, drained of excess liquid and shredded | 1 tablespoon mayonnaise | 5 sheets nori (dry seaweed) | 1 avocado, sliced | 0.25 cup red caviar, such as tobiko | 1 English cucumber, seeded and sliced into strips | 2 tablespoons drained pickled ginger, for garnish | 2 tablespoons soy sauce, or to taste | 1 tablespoon wasabi paste","2. Gather all ingredients. | 3. Wrap a sushi rolling mat completely in plastic wrap and set aside. | 4. Bring water and rice to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until rice is tender and liquid has been absorbed, 20 to 25 minutes. Transfer rice to a bowl and cut in vinegar using a rice paddle or wooden spoon. Season with sugar and salt. Allow to cool to room temperature, about 30 minutes. | 5. Combine crab meat with mayonnaise in a small bowl. | 6. Place nori sheet on a flat work surface. Spread a thin layer of rice on top of nori. | 7. Place nori, rice side down, on the prepared rolling mat. Place 2 to 3 avocado slices on top of the nori in one layer. | 8. Top with 2 to 3 tablespoons of the crab mixture. | 9. Spoon 1 to 2 teaspoons tobiko lengthwise on one side of the avocado-crab mixture, and 2 cucumber strips on the other side. | 10. Using the mat as a guide, carefully roll the California roll into a tight log. Remove the rolling mat. Top roll with more tobiko, cover with plastic wrap, and gently press the tobiko into the top of the roll. | 11. Remove the plastic and cut into 6 even pieces using a wet knife. Repeat with remaining sheets of nori and filling. Serve garnished with pickled ginger, soy sauce, and wasabi paste.",445kcal,11g,2g,94mg,1237mg,70g,4g,3g,15g,8mg,95mg,5mg,509mg
Air Fryer Chicken Katsu with Homemade Katsu Sauce,https://www.allrecipes.com/recipe/278708/air-fryer-chicken-katsu-with-homemade-katsu-sauce/,4,20m,20m,40m,"0.5 cup ketchup | 2 tablespoons soy sauce | 1 tablespoon brown sugar | 1 tablespoon sherry | 2 teaspoons Worcestershire sauce | 1 teaspoon minced garlic | 1 pound boneless skinless chicken breast, sliced in half horizontally | 1 pinch salt and ground black pepper to taste | 2 large eggs, beaten | 1.5 cups panko bread crumbs | cooking spray","2. Gather the ingredients. | 3. Prepare sauce: Whisk ketchup, soy sauce, brown sugar, sherry, Worcestershire sauce, and garlic together in a bowl until sugar has dissolved. Set katsu sauce aside. Preheat an air fryer to 350 degrees F (175 degrees C). | 4. Meanwhile, lay chicken pieces on a clean work surface. Season with salt and pepper. | 5. Place beaten eggs in a flat dish or shallow bowl. Pour bread crumbs into a second flat dish. Dredge chicken pieces in egg and then in bread crumbs. Repeat by dredging chicken in egg and then bread crumbs again, pressing down so the bread crumbs stick to the chicken. | 6. Place chicken pieces in the basket of the preheated air fryer. Spray the tops with nonstick cooking spray. | 7. Air fry for 10 minutes. Flip chicken pieces over using a spatula and spray the tops with nonstick cooking spray. Cook for 8 minutes more. Transfer chicken to a cutting board and slice. Serve with katsu sauce. | 8. Serve with katsu sauce and enjoy!",318kcal,7g,2g,158mg,1164mg,41g,0g,11g,32g,5mg,39mg,2mg,392mg
Easy Chinese Corn Soup,https://www.allrecipes.com/recipe/29704/easy-chinese-corn-soup/,4,5m,10m,15m,"1 (15 ounce) can cream style corn | 1 (14.5 ounce) can low-sodium chicken broth | 1 tablespoon cornstarch | 2 tablespoons water | 1 large egg, beaten","2. Combine corn and chicken broth in a saucepan. Bring to a boil over medium-high heat. | 3. Mix together cornstarch and water in a small bowl or cup; pour into the boiling corn soup, and continue cooking for about 2 minutes, or until thickened. | 4. Gradually add beaten egg while stirring the soup. Remove from heat and serve.",121kcal,2g,1g,48mg,409mg,24g,2g,4g,5g,6mg,11mg,1mg,178mg
Chai Tea Latte,https://www.allrecipes.com/recipe/222513/chai-tea-latte/,1,5m,not provided,5m,0.75 cup boiling water | 1 chai tea bag | 1.5 teaspoons honey | 1 teaspoon white sugar | 0.75 cup milk,2. Gather all ingredients. | 3. Pour boiling water over chai tea bag in a mug; let steep 4 to 6 minutes. Remove and discard tea bag. | 4. Stir honey and sugar into tea to dissolve. Stir milk through tea to serve.,145kcal,4g,2g,15mg,81mg,23g,not provided,22g,6g,0mg,220mg,0mg,282mg
Slow Cooker German-Style Pork Roast with Sauerkraut and Potatoes,https://www.allrecipes.com/recipe/146229/slow-cooker-german-style-pork-roast-with-sauerkraut-and-potatoes/,8,20m,8h 0m,8h 20m,"6 white potatoes, peeled and quartered | 1 tablespoon minced garlic | salt and pepper to taste | 1 (3 pound) boneless pork loin roast | 1 (32 ounce) jar sauerkraut with liquid | 2 teaspoons caraway seeds","2. Place potatoes, garlic, salt, and pepper in a slow cooker; stir to coat. Season pork roast with salt and pepper; lay over potatoes. Pour sauerkraut over roast and sprinkle with caraway seeds. | 3. Cook on Low for 8 to 10 hours.",386kcal,15g,6g,83mg,810mg,31g,7g,4g,31g,49mg,73mg,4mg,1264mg
Super Easy Cabbage Stir Fry,https://www.allrecipes.com/recipe/174210/super-easy-stir-fried-cabbage/,4,10m,5m,15m,"1 tablespoon vegetable oil | 2 cloves garlic, minced | 1 pound shredded cabbage | 1 tablespoon soy sauce | 1 tablespoon Chinese cooking wine (Shaoxing wine)","2. Heat vegetable oil in a wok or large skillet over medium heat. Stir in garlic and cook until it begins to brown, 3 to 5 seconds. | 3. Stir in cabbage until coated in oil; cover the wok and cook for 1 minute. | 4. Pour in soy sauce; cook and stir for another minute. Increase heat to high and stir in Chinese cooking wine. Cook and stir until cabbage is tender, about 2 minutes more. | 5. Serve hot and enjoy!",65kcal,4g,1g,not provided,270mg,7g,3g,4g,2g,42mg,49mg,1mg,208mg
Pfeffernusse,https://www.allrecipes.com/recipe/9822/pfeffernusse/,96,not provided,not provided,0m,"4 cups all-purpose flour | 1 teaspoon baking powder | 0.5 teaspoon baking soda | 1 teaspoon ground white pepper | 1 teaspoon ground cinnamon | 0.5 teaspoon ground cardamom | 0.5 teaspoon ground ginger | 0.75 teaspoon salt | 0.75 cup butter, softened | 1.25 cups packed brown sugar | 2 eggs | 0.75 cup finely chopped almonds","2. Preheat oven to 350 degrees F. | 3. Combine dry ingredients and set aside. | 4. In a separate bowl, beat butter and sugar together until light. Add eggs one at a time, beating well after each addition. | 5. Stir in dry ingredients 1/2 cup at a time. Add almonds, if desired. | 6. Roll into one inch balls and arrange 1 inch apart on ungreased baking sheet. Bake 11 to 14 minutes. | 7. Cool and store in airtight containers for 3 days to mellow flavors.",51kcal,2g,1g,8mg,42mg,7g,0g,3g,1g,not provided,10mg,0mg,20mg
Ashley&#39;s Chicken Katsu with Tonkatsu Sauce,https://www.allrecipes.com/recipe/75981/ashleys-chicken-katsu-with-tonkatsu-sauce/,2,20m,10m,30m,"0.5 cup Worcestershire sauce | 0.25 cup ketchup | 2 tablespoons soy sauce | pepper to taste | 2 cups vegetable oil, for deep-fat frying | 0.5 cup all-purpose flour | 0.5 cup panko bread crumbs | salt and pepper to taste | 1 egg, beaten | 2 skinless, boneless chicken breast halves - pounded to 1/4 inch thickness | 1 green onion, thinly sliced","2. For the sauce, stir together the Worcestershire sauce, ketchup, and soy sauce, and a pinch of pepper to taste. Set aside. | 3. Heat oil in deep-fryer to 350 degrees F (175 degrees C). | 4. Place flour and panko bread crumbs onto separate plates and season with salt and pepper. Place the beaten egg in a medium bowl. Dip flattened chicken pieces first into flour, then egg, and lastly bread crumbs. | 5. Fry breaded chicken breasts in preheated oil until golden brown and no longer pink in center, about 8 minutes. Transfer to a paper towel-lined plate to absorb excess oil. Slice chicken into thin strips and top with a drizzle of sauce and a sprinkling of sliced green onions. Serve remaining sauce on the side for dipping.",718kcal,37g,7g,137mg,2290mg,73g,2g,15g,30g,15mg,127mg,7mg,947mg
Atsara (Papaya Relish),https://www.allrecipes.com/recipe/212921/atsara-papaya-relish/,10,20m,10m,25h 30m,"4 cups grated fresh green papaya | 0.25 cup salt | 1 carrot, peeled and sliced | 1 red bell pepper, sliced into long strips | 2 green chile peppers, sliced into thin rings | 1 (2 inch) piece fresh ginger root, peeled and sliced | 1 (1.5 ounce) box raisins | 1 cup white vinegar | 1 cup water | 1 cup white sugar | 1 teaspoon salt","2. Toss grated papaya with 1/4 cup salt together in a large bowl; allow to sit for 1 hour. Drain liquid from papaya and rinse thoroughly. Place papaya in the middle of a large piece of cheesecloth and squeeze to drain as much liquid from the papaya as possible. | 3. Combine papaya, carrot, bell pepper, chile peppers, ginger, and raisins together in a clean large bowl; mix. Transfer the mixture to clean, dry jars with lids. | 4. Stir vinegar, water, sugar, and 1 teaspoon salt together in a small saucepan; bring to a boil for 5 minutes. Pour the vinegar mixture into the jars, making sure the vegetables are completely submerged in liquid. Allow vegetables to marinate in the liquid at least 1 day before using. Store in the refrigerator between uses.",112kcal,0g,not provided,not provided,241mg,28g,2g,25g,1g,42mg,17mg,1mg,182mg
Easy Baklava,https://www.allrecipes.com/recipe/20287/easy-baklava/,36,30m,50m,1h 20m,"1 pound chopped nuts | 1 teaspoon ground cinnamon | 1 (16 ounce) package phyllo dough | 1 cup butter, melted | 1 cup white sugar | 1 cup water | 0.5 cup honey | 1 teaspoon vanilla extract | 1 teaspoon grated lemon zest","2. Preheat the oven to 350 degrees F (175 degrees C). Butter a 9x13-inch baking dish. | 3. Toss together nuts and cinnamon. Unroll phyllo and cut the whole stack in half to fit the dish. Cover phyllo with a damp cloth while assembling the baklava, to keep it from drying out. | 4. Place 2 sheets of phyllo in the bottom of the prepared dish. Brush generously with some of the melted butter. Sprinkle 2 to 3 tablespoons of the nut mixture on top. Repeat layers until all ingredients are used, ending with about 6 sheets of phyllo. | 5. Using a sharp knife, cut baklava into 4 long rows, then diagonally 9 times to make 36 diamond shapes. Be sure to cut all the way through to the bottom of the layers. | 6. Bake in the preheated oven until golden brown and crisp, about 50 minutes. | 7. While baklava is baking, combine sugar and water in a small saucepan over medium heat and bring to a boil. Stir in honey, vanilla, and lemon zest; reduce heat and simmer 20 minutes. | 8. Remove baklava from the oven and immediately spoon syrup over it. Let cool completely before serving. Store uncovered.",201kcal,14g,4g,14mg,97mg,18g,1g,not provided,3g,0mg,17mg,1mg,70mg
Chinese Spareribs,https://www.allrecipes.com/recipe/77408/chinese-spareribs/,2,5m,40m,2h 45m,3 tablespoons hoisin sauce | 1 tablespoon ketchup | 1 tablespoon honey | 1 tablespoon soy sauce | 1 tablespoon sake | 1 teaspoon rice vinegar | 1 teaspoon lemon juice | 1 teaspoon grated fresh ginger | 0.5 teaspoon grated fresh garlic | 0.25 teaspoon Chinese five-spice powder | 1 pound pork spareribs,"2. Gather all ingredients. | 3. Mix hoisin sauce, ketchup, honey, soy sauce, sake, rice vinegar, lemon juice, ginger, garlic, and five-spice powder together in a shallow glass dish. Place ribs in the dish and turn to coat. Cover and marinate in the refrigerator for 2 hours or up to overnight. | 4. Preheat the oven to 325 degrees F (165 degrees C). Fill a broiler tray with enough water to cover the bottom. Place the grate or a rack over the tray; arrange ribs on the grate. | 5. Cook in the preheated oven on the center rack for 40 minutes, turning and brushing with marinade every 10 minutes. | 6. Let marinade cook on for final 10 minutes to make a glaze. Finish under the broiler if desired. Discard any remaining marinade.",503kcal,31g,11g,121mg,1015mg,23g,1g,18g,30g,3mg,62mg,3mg,407mg
Spicy Tuna Rolls,https://www.allrecipes.com/recipe/279434/spicy-tuna-rolls/,4,30m,not provided,30m,"4 sheets nori (dry seaweed) | 0.5 pound sashimi-grade tuna, finely chopped | 4 tablespoons mayonnaise | 2 green onions, chopped | 1 tablespoon hot chile sauce | 2.5 cups prepared sushi rice | 1 tablespoon sesame seeds","2. Cut off the bottom quarter of each nori sheet; reserve for another use. | 3. Combine chopped tuna, mayonnaise, green onions, and hot sauce in a bowl. | 4. Center 1 sheet of nori on a bamboo sushi mat. Wet your hands. Spread a thin layer of rice on the nori using your hands; press into a thin layer, leaving a 1/2-inch space at the bottom edge. Sprinkle with sesame seeds. Arrange 1/4 of the tuna mixture in a line across the rice, about 1/3 of the way down from the top of the sheet. | 5. Wet the uncovered edge of the nori. Lift the top end of the mat and firmly roll it over the ingredients. Roll it forward to make a complete roll. Repeat with remaining ingredients. | 6. Slice the rolls into 3/4-inch pieces using a wet knife. Serve immediately or refrigerate until serving.",344kcal,13g,2g,31mg,103mg,39g,1g,1g,17g,4mg,41mg,1mg,350mg
Easy German Apple Streusel Pie,https://www.allrecipes.com/recipe/267993/easy-german-apple-streusel-pie/,10,20m,1h 0m,1h 25m,"4 large apples - peeled, cored, and thinly sliced | 1 pinch ground cinnamon | 7 ounces unsalted butter, at room temperature | 1 cup white sugar | 3 teaspoons vanilla sugar | 1 egg | 2 cups all-purpose flour | 3.5 teaspoons baking powder","2. Combine apple slices and cinnamon in a saucepan and cook over low heat for 10 minutes. If necessary, add a tiny bit of water so apples don&#39;t burn. Remove from heat and set aside to cool. | 3. Preheat the oven to 350 degrees F (175 degrees C). Grease a 10-inch springform pan with butter. | 4. Combine butter, sugar, vanilla sugar, and egg in a large bowl; beat using an electric mixer until smooth and creamy. Mix flour and baking powder in a separate bowl. Add 2/3 of flour mixture, 1 tablespoon at a time, to butter mixture and beat on low speed. Add remaining flour mixture and mix in by hand to make a crumbly dough. | 5. Transfer 1/2 the dough into the prepared springform pan and press down to create a bottom crust. Add apple slices, leaving a small space around the edges. Crumble remaining dough evenly on top. | 6. Bake in the preheated oven until streusel and crust are lightly browned, about 50 minutes. Cool on a wire rack for 5 minutes. Run a table knife around the edges to loosen. Carefully transfer to a serving plate or cooling rack.",365kcal,17g,10g,59mg,180mg,53g,3g,29g,4g,4mg,112mg,2mg,129mg
Chicken Tinola,https://www.allrecipes.com/recipe/212929/chicken-tinola/,4,30m,20m,50m,"1 tablespoon cooking oil | 1 medium onion, chopped | 2 cloves garlic, minced | 1 (1 1/2 inch) piece fresh ginger, peeled and thinly sliced | 1 tablespoon fish sauce | 3 pounds chicken legs and thighs, rinsed and patted dry | 2 (14 ounce) cans chicken broth | 1 chayote squash, peeled and cut into bite-sized pieces | salt and ground black pepper to taste | 1 head bok choy, chopped | 1 (8 ounce) package fresh spinach, chopped","2. Gather all ingredients. | 3. Heat oil in a large pot over medium heat. Add onion and garlic; cook and stir until fragrant, about 2 minutes. | 4. Add ginger and fish sauce; cook and stir for 1 to 2 minutes. Stir in chicken and cook for 5 minutes. | 5. Pour in chicken broth and cook for 5 minutes. Add squash and simmer until chicken is no longer pink in the center, about 10 minutes. Season with salt and pepper. | 6. Add bok choy and spinach; cook until spinach is just wilted, 1 to 2 minutes. Serve hot. | 7. Enjoy!",532kcal,23g,6g,208mg,1551mg,14g,4g,6g,66g,not provided,not provided,not provided,not provided
3-Ingredient Japanese Cheesecake,https://www.allrecipes.com/recipe/263685/3-ingredient-cheesecake/,8,15m,30m,5h 0m,"1 (4 ounce) bar white chocolate, chopped | 0.5 cup cream cheese, softened | 3 eggs, separated","2. Preheat the oven to 350 degrees F (175 degrees C). Line the bottom of a 9-inch springform pan with parchment paper. | 3. Place white chocolate in the top of a double boiler over simmering water. Stir frequently, scraping down the sides with a rubber spatula to avoid scorching, until chocolate is melted, about 5 minutes. Remove and allow to cool slightly. Mix in cream cheese and egg yolks until well combined. | 4. Beat egg whites in a large glass, metal, or ceramic bowl with an electric mixer until stiff peaks form. Fold in cooled white chocolate mixture. Pour into the prepared springform pan. | 5. Bake in the preheated oven for 15 minutes. Reduce oven temperature to 300 degrees F (150 degrees C) and bake for 15 minutes. Turn the oven off, leaving cheesecake inside for 15 more minutes. | 6. Remove cheesecake from the oven and allow to cool completely at room temperature, about 1 hour. Chill before serving, about 3 hours.",151kcal,11g,6g,80mg,79mg,9g,not provided,9g,4g,0mg,49mg,1mg,80mg
Chicken in Black Bean Sauce,https://www.allrecipes.com/recipe/246187/chicken-in-garlic-and-black-bean-sauce/,6,15m,15m,50m,"1 tablespoon cornstarch | 1 tablespoon water | 1 tablespoon soy sauce | 1.5 teaspoons white sugar | 1 teaspoon salt | 6 skinless, boneless chicken breast halves, sliced | 1 cup bean sprouts | 1/4 cup water | 2 teaspoons oyster sauce | 1 teaspoon white sugar | 1 tablespoon vegetable oil | 3 tablespoons black bean sauce with garlic | 1 tablespoon chopped garlic | 1 onion, finely sliced | 0.5 bell pepper, chopped | 2 teaspoons cornstarch | 1 tablespoon water","2. To make the marinade: Mix 1 tablespoon cornstarch with 1 tablespoon water in a bowl; stir in light soy sauce, sugar, and salt. Add chicken; toss to combine. Set aside to marinate for 20 minutes. | 3. Bring water to a boil in a saucepan. Add bean sprouts; cook just until blanched, about 30 seconds; drain and set aside. | 4. Combine 1/4 cup water, oyster sauce, and sugar together in a small bowl; set aside. | 5. Heat vegetable oil in a skillet over high heat. Add black bean sauce and chopped garlic; cook and stir until fragrant, about 1 minute. Add onion; cook and stir until soft, 3 to 4 minutes. | 6. Add chicken and marinade mixture; stir-fry until cooked through and no longer pink in the middle, about 4 to 5 minutes. Stir in oyster sauce mixture; cook until heated through. Cover and simmer until flavors blend, about 1 or 2 minutes. Stir in bell pepper; cover and cook until softened, 1 to 2 minutes more. | 7. Dissolve 2 teaspoons cornstarch in 1 tablespoon water. Stir in bean sprouts and cornstarch mixture; cook until sauce is thickened, 2 to 3 minutes more.",266kcal,8g,2g,102mg,453mg,9g,1g,4g,38g,18mg,32mg,2mg,410mg
