ingredient,disease,effect,reason
mixed color bell pepper,cardiovascular disease,positive,"Excellent source of vitamin C and antioxidants, which help reduce inflammation."
mixed fruit,cardiovascular disease,positive,"Provides fiber, vitamins, and antioxidants beneficial for heart health."
mixed herb,cardiovascular disease,positive,Rich in antioxidants and can be used to reduce salt in cooking.
mixed spice,cardiovascular disease,positive,Contain anti-inflammatory compounds and can be used as a salt substitute for flavor.
mixed vegetable,cardiovascular disease,positive,"High in fiber, vitamins, and minerals while being low in calories, supporting overall cardiovascular health."
mixed wild mushroom,cardiovascular disease,positive,"Source of potassium, fiber, and antioxidants that support heart health."
mochiko,cardiovascular disease,negative,A refined carbohydrate that can raise blood sugar and triglycerides without providing significant fiber.
mojo marinade,cardiovascular disease,negative,"Typically very high in sodium and oil, which can negatively impact blood pressure and cholesterol."
molasses,cardiovascular disease,negative,"A concentrated source of sugar, which contributes to cardiovascular risk factors when consumed in excess."
monkfish,cardiovascular disease,positive,"A lean fish providing protein and some omega-3 fatty acids, which are beneficial for heart health."
monosodium glutamate,cardiovascular disease,negative,"Contains sodium, which contributes to high blood pressure."
monterey jack cheese,cardiovascular disease,negative,"High in saturated fat and sodium, both of which are risk factors for heart disease."
montreal style steak seasoning,cardiovascular disease,negative,"Typically very high in sodium, a primary driver of high blood pressure."
morcilla sausage,cardiovascular disease,very negative,"A processed meat high in sodium, saturated fat, and cholesterol, strongly linked to increased cardiovascular risk."
mozzarella cheese,cardiovascular disease,negative,"Source of saturated fat and sodium, which should be limited for heart health."
multicolored candy sprinkle,cardiovascular disease,very negative,"Composed almost entirely of sugar and artificial additives with no nutritional value, contributing to heart disease risk factors."
mung bean,cardiovascular disease,positive,"Excellent source of fiber and potassium, which help lower cholesterol and blood pressure."
mung bean sprout,cardiovascular disease,positive,Low-calorie source of vitamins and fiber.
muscatel wine,cardiovascular disease,negative,"As an alcoholic beverage, it can raise blood pressure and triglycerides; sweet wines also contain more sugar."
mushroom,cardiovascular disease,positive,"Low in calories and sodium, and a good source of potassium and antioxidants."
mushroom cap,cardiovascular disease,positive,"Same as whole mushrooms; low in calories and sodium, and a good source of potassium and antioxidants."
mussel,cardiovascular disease,positive,Excellent source of heart-healthy omega-3 fatty acids and lean protein.
mustard,cardiovascular disease,negative,"Prepared mustard is often high in sodium, which can increase blood pressure."
mustard green,cardiovascular disease,positive,"A leafy green rich in vitamins (especially K), fiber, and antioxidants."
mustard oil,cardiovascular disease,negative,"Some varieties are high in erucic acid, which has been linked to heart problems in animal studies."
mustard powder,cardiovascular disease,positive,Ground mustard seed can add flavor without sodium and contains beneficial plant compounds.
mustard seed,cardiovascular disease,positive,Rich in antioxidants and anti-inflammatory compounds.
napa cabbage,cardiovascular disease,positive,A low-calorie vegetable providing fiber and vitamins beneficial for heart health.
navel orange,cardiovascular disease,positive,"High in vitamin C, potassium, and soluble fiber, which can help lower cholesterol."
navy bean,cardiovascular disease,positive,"Rich in soluble fiber, which is highly effective at lowering LDL (bad) cholesterol."
new potato,cardiovascular disease,positive,"Good source of potassium, which helps regulate blood pressure, especially when eaten with the skin."
new york strip steak,cardiovascular disease,very negative,"A cut of red meat high in saturated fat, linked to an increased risk of cardiovascular disease."
non dairy creamer,cardiovascular disease,very negative,"Often contains hydrogenated oils (trans fats) and sugar, which are extremely damaging to cardiovascular health."
nonfat evaporated milk,cardiovascular disease,neutral,
nonfat plain yogurt,cardiovascular disease,positive,Provides protein and calcium without saturated fat or added sugars.
noodle,cardiovascular disease,negative,"Typically a refined carbohydrate, which can negatively impact blood sugar and triglyceride levels."
nori,cardiovascular disease,positive,A low-calorie seaweed containing minerals and a small amount of omega-3 fatty acids.
nori seaweed,cardiovascular disease,positive,A low-calorie seaweed containing minerals and a small amount of omega-3 fatty acids.
nori seaweed sheet,cardiovascular disease,positive,A low-calorie seaweed containing minerals and a small amount of omega-3 fatty acids.
nuoc mam,cardiovascular disease,very negative,"Extremely high in sodium, a major contributor to high blood pressure."
nut,cardiovascular disease,positive,"Rich in unsaturated fats, fiber, and plant sterols, which help lower bad cholesterol."
nutmeg,cardiovascular disease,neutral,
oat,cardiovascular disease,positive,"Contains beta-glucan, a soluble fiber proven to lower cholesterol."
oatmeal,cardiovascular disease,positive,"Made from oats, it is rich in beta-glucan, a soluble fiber proven to lower cholesterol."
octopus,cardiovascular disease,positive,A lean source of protein that is low in saturated fat.
oil,cardiovascular disease,neutral,"The effect depends entirely on the type of oil (e.g., olive oil is positive, hydrogenated oil is very negative)."
okra,cardiovascular disease,positive,"High in soluble fiber, which helps lower cholesterol and manage blood sugar."
okra pod,cardiovascular disease,positive,"High in soluble fiber, which can help lower cholesterol and blood sugar levels."
olive,cardiovascular disease,positive,Rich in heart-healthy monounsaturated fats and antioxidants that reduce inflammation.
olive oil,cardiovascular disease,positive,"A primary source of monounsaturated fats, which helps lower bad (LDL) cholesterol and reduce inflammation."
onion,cardiovascular disease,positive,"Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation."
onion powder,cardiovascular disease,positive,"A concentrated source of onion's beneficial compounds, like antioxidants."
onion salt,cardiovascular disease,negative,"Very high in sodium, which can raise blood pressure, a major risk factor for heart disease."
orange,cardiovascular disease,positive,"Good source of potassium, vitamin C, and flavonoids, which support blood vessel health and may lower blood pressure."
orange bell pepper,cardiovascular disease,positive,Excellent source of vitamin C and other antioxidants that protect against cellular damage.
orange blossom,cardiovascular disease,neutral,
orange blossom honey,cardiovascular disease,negative,A form of added sugar. High intake of added sugars is linked to increased risk factors for heart disease.
orange blossom water,cardiovascular disease,neutral,
orange flower water,cardiovascular disease,neutral,
orange gel food coloring,cardiovascular disease,neutral,
orange juice,cardiovascular disease,negative,"A concentrated source of sugar without the fiber of the whole fruit, which can negatively impact blood sugar and weight."
orange juice concentrate,cardiovascular disease,negative,"A highly concentrated source of sugar, often with added sugars, lacking the beneficial fiber of whole fruit."
orange liqueur,cardiovascular disease,negative,"Contains both alcohol and high amounts of sugar, which can contribute to high blood pressure and triglycerides."
orange peel,cardiovascular disease,positive,"Rich in flavonoids like hesperidin, which may help lower cholesterol and blood pressure."
orange zest,cardiovascular disease,positive,"Rich in flavonoids like hesperidin, which may help lower cholesterol and blood pressure."
oregano,cardiovascular disease,positive,Rich in antioxidants that help combat inflammation and oxidative stress.
oregano leaf,cardiovascular disease,positive,Rich in antioxidants that help combat inflammation and oxidative stress.
orzo pasta,cardiovascular disease,neutral,
oxtail,cardiovascular disease,negative,"A fatty cut of red meat, high in saturated fat which can raise LDL (bad) cholesterol."
oyster sauce,cardiovascular disease,negative,"Typically very high in sodium, which contributes to high blood pressure."
palm oil,cardiovascular disease,very negative,"Very high in saturated fat (palmitic acid), which significantly raises LDL (bad) cholesterol."
palm sugar,cardiovascular disease,negative,"A form of added sugar, which contributes to risk factors like obesity and high triglycerides when consumed in excess."
panang curry paste,cardiovascular disease,negative,Typically very high in sodium and can contain saturated fats.
pandan leaf,cardiovascular disease,neutral,
pandan paste,cardiovascular disease,negative,Primarily a source of added sugar and flavorings.
paneer,cardiovascular disease,negative,"A source of saturated fat, which can increase LDL (bad) cholesterol levels."
panko bread crumb,cardiovascular disease,neutral,
panko crumb,cardiovascular disease,neutral,
panquehue cheese,cardiovascular disease,negative,"High in saturated fat and sodium, both of which are risk factors for heart disease."
paprika,cardiovascular disease,positive,"Contains antioxidants like carotenoids, which help protect against oxidative stress."
parmesan cheese,cardiovascular disease,negative,"Very high in sodium and saturated fat, which can negatively impact blood pressure and cholesterol."
parmigiano reggiano,cardiovascular disease,negative,"Very high in sodium and saturated fat, which can negatively impact blood pressure and cholesterol."
parmigiano reggiano cheese,cardiovascular disease,negative,"Very high in sodium and saturated fat, which can negatively impact blood pressure and cholesterol."
parsley,cardiovascular disease,positive,"Rich in vitamin K and antioxidants, which support heart and blood vessel health."
parsley leaf,cardiovascular disease,positive,"Rich in vitamin K and antioxidants, which support heart and blood vessel health."
parsnip,cardiovascular disease,positive,"Good source of potassium and fiber, which help manage blood pressure and cholesterol."
partridge breast half,cardiovascular disease,neutral,
passata,cardiovascular disease,positive,"Made from tomatoes, which are rich in lycopene and potassium, beneficial for heart health. Assumes no added salt."
passion fruit,cardiovascular disease,positive,"High in dietary fiber and potassium, which can help lower cholesterol and blood pressure."
pasta,cardiovascular disease,neutral,
pasta sauce,cardiovascular disease,negative,Commercially prepared versions are often very high in sodium and added sugars.
pastry,cardiovascular disease,very negative,"Typically made with refined flour and high amounts of saturated or trans fats, which raise bad cholesterol."
pastry double crust pie,cardiovascular disease,very negative,"High in refined carbohydrates, saturated and/or trans fats, and often sugar."
pastry flour,cardiovascular disease,neutral,
pate,cardiovascular disease,very negative,"Typically very high in saturated fat, cholesterol, and sodium."
pea,cardiovascular disease,positive,"Good source of heart-healthy fiber, plant-based protein, and minerals."
pea pod,cardiovascular disease,positive,"Excellent source of dietary fiber and vitamins, which support overall cardiovascular health."
peach,cardiovascular disease,positive,"Rich in fiber, potassium, and antioxidants which support heart health."
peach flavored vodka,cardiovascular disease,negative,"Contains alcohol and often added sugars, both of which can negatively impact cardiovascular health when consumed in excess."
peach schnapps,cardiovascular disease,negative,"High in sugar and alcohol, which can contribute to high blood pressure, triglycerides, and weight gain."
peach slice,cardiovascular disease,positive,"Rich in fiber, potassium, and antioxidants which support heart health."
peanut,cardiovascular disease,positive,"Contains heart-healthy monounsaturated fats, fiber, and plant protein. Choose unsalted versions."
peanut butter,cardiovascular disease,negative,"Commercial varieties often contain added sugars, sodium, and unhealthy hydrogenated oils, which can increase LDL cholesterol and blood pressure."
peanut oil,cardiovascular disease,positive,"Rich in monounsaturated fats, which can help lower bad cholesterol levels."
peanut sauce,cardiovascular disease,negative,"Often high in sodium, sugar, and saturated fats, which can contribute to high blood pressure and cholesterol."
pear,cardiovascular disease,positive,"Excellent source of dietary fiber, which helps lower cholesterol and blood pressure."
pear juice,cardiovascular disease,negative,"Lacks the fiber of whole fruit and is a concentrated source of sugar, which can negatively impact blood sugar and triglycerides."
pearl barley,cardiovascular disease,positive,"A whole grain rich in soluble fiber (beta-glucans), which is known to lower cholesterol levels."
pearl couscous,cardiovascular disease,neutral,
pearl onion,cardiovascular disease,positive,Contains antioxidants and compounds that may help reduce blood pressure and inflammation.
pearl sugar,cardiovascular disease,negative,"A form of refined sugar, which contributes to weight gain, inflammation, and elevated triglycerides when consumed in excess."
pecan,cardiovascular disease,positive,"Rich in heart-healthy monounsaturated fats, fiber, and antioxidants that can help lower LDL cholesterol."
pecan half,cardiovascular disease,positive,"Rich in heart-healthy monounsaturated fats, fiber, and antioxidants that can help lower LDL cholesterol."
pecorino romano cheese,cardiovascular disease,very negative,"Extremely high in sodium and saturated fat, both of which are major risk factors for high blood pressure and high cholesterol."
pectin,cardiovascular disease,positive,A type of soluble fiber that can help lower LDL (bad) cholesterol levels.
penne,cardiovascular disease,neutral,
penne pasta,cardiovascular disease,neutral,
pepper,cardiovascular disease,positive,Contains antioxidants and anti-inflammatory compounds; bell peppers are rich in vitamin C and potassium.
pepper jack cheese,cardiovascular disease,negative,"High in saturated fat and sodium, which can contribute to high cholesterol and blood pressure."
pepper sauce,cardiovascular disease,negative,"Typically very high in sodium, which can increase blood pressure."
peppercorn,cardiovascular disease,positive,"Contains piperine, an antioxidant with anti-inflammatory properties that may benefit heart health."
pepperoni,cardiovascular disease,very negative,"A processed meat high in sodium, saturated fat, and nitrates, all strongly linked to increased risk of cardiovascular disease."
persian cucumber,cardiovascular disease,positive,"Low in calories and a source of potassium and fiber, which support healthy blood pressure."
persian lime,cardiovascular disease,positive,"Source of vitamin C and flavonoids, which have antioxidant properties and support blood vessel health."
persian rose petal,cardiovascular disease,neutral,
petite diced tomato,cardiovascular disease,positive,"Excellent source of lycopene, potassium, and antioxidants, which are linked to lower blood pressure and reduced cardiovascular risk."
petite pea,cardiovascular disease,positive,"Good source of fiber, plant protein, and heart-healthy micronutrients."
pho ga soup seasoning,cardiovascular disease,very negative,"Soup seasoning packets are typically extremely high in sodium, a major contributor to high blood pressure."
phyllo dough,cardiovascular disease,neutral,
picante sauce,cardiovascular disease,negative,"Commercial varieties are often high in sodium, which can raise blood pressure."
pickle,cardiovascular disease,very negative,"Extremely high in sodium due to the brining process, which significantly contributes to high blood pressure."
pickled ginger,cardiovascular disease,negative,The pickling process adds significant amounts of sodium and often sugar.
pickled mustard cabbage,cardiovascular disease,negative,"The pickling process adds a large amount of sodium, which can increase blood pressure."
pickling spice,cardiovascular disease,positive,A blend of spices which are rich in antioxidants and anti-inflammatory compounds.
pie crust,cardiovascular disease,very negative,"Usually made with refined flour and either shortening (containing trans fats) or butter (high in saturated fat), both of which raise bad cholesterol."
pie crust mix,cardiovascular disease,very negative,Contains refined flour and processed fats (like hydrogenated oils) that are detrimental to cholesterol levels and heart health.
pie shell,cardiovascular disease,very negative,"Pre-made shells are typically high in refined flour and unhealthy fats like shortening or palm oil, which raise LDL cholesterol."
pigs foot,cardiovascular disease,very negative,"Very high in saturated fat and cholesterol, which contribute to the development of atherosclerosis."
piloncillo,cardiovascular disease,negative,"A form of concentrated sugar; excessive sugar intake is linked to obesity, inflammation, and high triglycerides."
pimento,cardiovascular disease,positive,"A type of pepper rich in vitamins and antioxidants like capsaicin, which may have cardiovascular benefits."
pimento stuffed green olive,cardiovascular disease,negative,"While olives contain healthy fats, they are packed in brine, making them very high in sodium, which raises blood pressure."
pimento stuffed olive,cardiovascular disease,negative,"Very high in sodium due to the curing and brining process, which is a risk factor for hypertension."
pimiento pepper,cardiovascular disease,positive,"A type of pepper rich in vitamins and antioxidants like capsaicin, which may have cardiovascular benefits."
pimiento stuffed green olive,cardiovascular disease,negative,"Very high in sodium due to the curing and brining process, which is a risk factor for hypertension."
pimiento stuffed olive,cardiovascular disease,negative,"Very high in sodium due to the curing and brining process, which is a risk factor for hypertension."
pina colada drink mix,cardiovascular disease,very negative,"Extremely high in added sugar, which contributes to high triglycerides, weight gain, and inflammation."
pine nut,cardiovascular disease,positive,"Contains heart-healthy monounsaturated fats, magnesium, and vitamin E, which support cardiovascular function."
pineapple,cardiovascular disease,positive,"Rich in fiber, vitamins, and antioxidants like bromelain, which support heart health by reducing inflammation."
pineapple chunk,cardiovascular disease,positive,"Rich in fiber, vitamins, and antioxidants like bromelain, which support heart health by reducing inflammation."
pineapple juice,cardiovascular disease,negative,"Lacks the fiber of whole fruit and is often high in sugar, which can negatively impact blood sugar and triglyceride levels."
pineapple preserve,cardiovascular disease,very negative,"Extremely high in added sugar, a major contributor to obesity, type 2 diabetes, and cardiovascular disease."
pineapple ring,cardiovascular disease,positive,"A form of whole pineapple, rich in fiber, vitamins, and antioxidants that support heart health."
pineapple tidbit,cardiovascular disease,positive,"A form of whole pineapple, rich in fiber, vitamins, and antioxidants that support heart health."
pink food coloring,cardiovascular disease,neutral,
pink himalayan salt,cardiovascular disease,negative,"High in sodium, which is a primary driver of high blood pressure, a major risk factor for cardiovascular disease."
pinot noir wine,cardiovascular disease,positive,"Contains antioxidants like resveratrol, which may have heart-protective benefits when consumed in moderation."
pinto bean,cardiovascular disease,positive,"Excellent source of soluble fiber, which helps lower cholesterol, and potassium, which helps control blood pressure."
pisco,cardiovascular disease,negative,"Alcohol, particularly spirits, can raise blood pressure and triglyceride levels, increasing cardiovascular risk."
pistachio,cardiovascular disease,positive,"Rich in heart-healthy monounsaturated fats, fiber, and antioxidants that can help lower bad (LDL) cholesterol."
pistachio nut,cardiovascular disease,positive,"Rich in heart-healthy monounsaturated fats, fiber, and antioxidants that can help lower bad (LDL) cholesterol."
pita bread,cardiovascular disease,negative,"Typically made from refined white flour, which lacks fiber and can contribute to high blood sugar and triglycerides."
pita bread round,cardiovascular disease,negative,"Typically made from refined white flour, which lacks fiber and can contribute to high blood sugar and triglycerides."
pita round,cardiovascular disease,negative,"Typically made from refined white flour, which lacks fiber and can contribute to high blood sugar and triglycerides."
pizza crust,cardiovascular disease,negative,"Usually made with refined flour and can be high in sodium and simple carbohydrates, which are detrimental to heart health."
pizza dough,cardiovascular disease,negative,"Usually made with refined flour and can be high in sodium and simple carbohydrates, which are detrimental to heart health."
pizza sauce,cardiovascular disease,negative,"Commercially prepared versions are often very high in sodium and added sugar, which contribute to high blood pressure."
plain low fat yogurt,cardiovascular disease,positive,"Good source of probiotics, calcium, and protein, which may help manage blood pressure and cholesterol levels. Plain varieties avoid added sugars."
plain yogurt,cardiovascular disease,positive,"Good source of probiotics, calcium, and protein, which may help manage blood pressure and cholesterol levels. Plain varieties avoid added sugars."
plantain,cardiovascular disease,positive,"Rich in potassium and fiber, which are beneficial for blood pressure control and overall heart health."
plantain leaf,cardiovascular disease,neutral,
plum,cardiovascular disease,positive,Contains fiber and antioxidants that can help reduce inflammation and improve cholesterol levels.
plum preserve,cardiovascular disease,very negative,"Extremely high in added sugar, a major contributor to obesity, type 2 diabetes, and cardiovascular disease."
plum tomato,cardiovascular disease,positive,"Excellent source of lycopene, an antioxidant that is strongly linked to improved cardiovascular health, and potassium."
poblano pepper,cardiovascular disease,positive,"Contains capsaicin and antioxidants like vitamin C, which may help improve cholesterol levels and blood pressure."
poi,cardiovascular disease,positive,"Made from taro root, a good source of dietary fiber and potassium, which supports heart health."
polenta,cardiovascular disease,positive,"A whole grain food that provides complex carbohydrates and fiber, which are beneficial for heart health."
polish kielbasa,cardiovascular disease,very negative,"A processed meat high in sodium and saturated fat, both of which are strongly linked to an increased risk of cardiovascular disease."
polish sausage,cardiovascular disease,very negative,"A processed meat high in sodium and saturated fat, both of which are strongly linked to an increased risk of cardiovascular disease."
polskie ogorki,cardiovascular disease,negative,"Pickled cucumbers that are extremely high in sodium, which contributes to high blood pressure."
pomegranate juice,cardiovascular disease,positive,"High in potent antioxidants that have been shown to improve blood flow, reduce arterial plaque, and lower blood pressure."
pomegranate molasses,cardiovascular disease,negative,"A concentrated syrup that often contains high amounts of added sugar, negating potential benefits."
pomegranate seed,cardiovascular disease,positive,"Rich in fiber and heart-healthy antioxidants, which can help reduce inflammation and improve cholesterol profiles."
pomegranate syrup,cardiovascular disease,negative,"A concentrated syrup that often contains high amounts of added sugar, negating potential benefits."
poppy seed,cardiovascular disease,positive,"Contains fiber, minerals, and healthy unsaturated fats that can be beneficial for heart health in moderation."
porcini mushroom,cardiovascular disease,positive,"Good source of potassium, fiber, and antioxidants, which support healthy blood pressure and overall cardiovascular function."
pork,cardiovascular disease,negative,"General term for a red meat that is often high in saturated fat, a risk factor for high cholesterol and heart disease."
pork back fat,cardiovascular disease,very negative,"Almost pure saturated fat, which directly raises LDL (bad) cholesterol levels, a major risk factor for heart disease."
pork backfat,cardiovascular disease,very negative,"Almost pure saturated fat, which directly raises LDL (bad) cholesterol levels, a major risk factor for heart disease."
pork belly,cardiovascular disease,very negative,"Extremely high in saturated fat, which significantly raises LDL (bad) cholesterol and increases cardiovascular risk."
pork breakfast chop,cardiovascular disease,negative,"Tends to be a fatty cut of pork, high in saturated fat, contributing to elevated cholesterol."
pork butt,cardiovascular disease,very negative,"A fatty cut of meat from the shoulder, very high in saturated fat, which increases LDL (bad) cholesterol."
pork butt roast,cardiovascular disease,very negative,"A fatty cut of meat from the shoulder, very high in saturated fat, which increases LDL (bad) cholesterol."
pork chop,cardiovascular disease,negative,"Can be high in saturated fat, especially if the fat is not trimmed, contributing to elevated cholesterol levels."
pork cutlet,cardiovascular disease,negative,"As a form of red meat, it contains saturated fat; leaner than other cuts but still contributes to overall intake."
pork loin,cardiovascular disease,neutral,
pork loin chop,cardiovascular disease,neutral,
pork loin roast,cardiovascular disease,neutral,
pork roast,cardiovascular disease,negative,"A cut of red meat, which is a source of saturated fat."
pork sausage,cardiovascular disease,very negative,"Processed red meat, very high in both saturated fat and sodium."
pork shank,cardiovascular disease,negative,"A fatty cut of red meat, high in saturated fat."
pork shoulder,cardiovascular disease,negative,"A fatty cut of red meat, high in saturated fat."
pork shoulder roast,cardiovascular disease,negative,"A fatty cut of red meat, high in saturated fat."
pork sirloin,cardiovascular disease,negative,"A leaner cut of red meat, but still a source of saturated fat."
pork sirloin roast,cardiovascular disease,negative,"A leaner cut of red meat, but still a source of saturated fat."
pork sparerib,cardiovascular disease,negative,"A fatty cut of red meat, high in saturated fat."
pork steak,cardiovascular disease,negative,"A cut of red meat, which is a source of saturated fat."
pork stew meat,cardiovascular disease,negative,"Often from fatty cuts of red meat, high in saturated fat."
pork tenderloin,cardiovascular disease,neutral,
port wine,cardiovascular disease,negative,Contains alcohol and sugar; excessive intake is a risk factor for heart disease.
port wine flavored gelatin mix,cardiovascular disease,negative,High in added sugar with no nutritional benefits.
portobello mushroom,cardiovascular disease,positive,"Good source of potassium and antioxidants, which support heart health."
portobello mushroom cap,cardiovascular disease,positive,"Good source of potassium and antioxidants, which support heart health."
portuguese chourico sausage,cardiovascular disease,very negative,"Processed red meat, very high in both saturated fat and sodium."
portuguese hot pepper sauce,cardiovascular disease,negative,"Can be very high in sodium, which contributes to high blood pressure."
portuguese linguica sausage,cardiovascular disease,very negative,"Processed red meat, very high in both saturated fat and sodium."
portuguese sausage,cardiovascular disease,very negative,"Processed red meat, very high in both saturated fat and sodium."
potato,cardiovascular disease,positive,"Good source of potassium, which helps manage blood pressure."
potato cooking water,cardiovascular disease,neutral,
potato flake,cardiovascular disease,neutral,
potato flour,cardiovascular disease,neutral,
potato starch,cardiovascular disease,neutral,
poultry seasoning,cardiovascular disease,neutral,
powdered milk,cardiovascular disease,negative,"If made from whole milk, it is a source of saturated fat."
prawn,cardiovascular disease,positive,A source of lean protein and omega-3 fatty acids.
processed american cheese,cardiovascular disease,very negative,Highly processed and very high in sodium and saturated fat.
processed cheese sauce,cardiovascular disease,very negative,Highly processed and very high in sodium and unhealthy fats.
provolone cheese,cardiovascular disease,negative,High in saturated fat and sodium.
prune,cardiovascular disease,positive,"Excellent source of soluble fiber and potassium, which benefit heart health."
puff pastry,cardiovascular disease,very negative,"Typically made with butter or shortening, making it very high in saturated and/or trans fats."
puff pastry sheet,cardiovascular disease,very negative,"Typically made with butter or shortening, making it very high in saturated and/or trans fats."
pulled pork,cardiovascular disease,very negative,"Made from fatty pork and often prepared with high-sodium, high-sugar sauces."
pumpkin,cardiovascular disease,positive,"Excellent source of potassium, fiber, and heart-healthy antioxidants like beta-carotene."
pumpkin puree,cardiovascular disease,positive,"Excellent source of potassium, fiber, and heart-healthy antioxidants like beta-carotene."
purple daikon radish,cardiovascular disease,positive,A vegetable rich in fiber and antioxidants.
purple food coloring,cardiovascular disease,neutral,
purple onion,cardiovascular disease,positive,Contains antioxidants like quercetin that support cardiovascular health.
purslane,cardiovascular disease,positive,A leafy green that is a rare plant-based source of omega-3 fatty acids.
quail egg,cardiovascular disease,neutral,
quark,cardiovascular disease,neutral,
queijo coalho cheese curd,cardiovascular disease,negative,"A type of cheese, which is high in saturated fat and sodium."
queso chanco,cardiovascular disease,negative,"A type of cheese, which is high in saturated fat and sodium."
queso fresco,cardiovascular disease,negative,"A source of saturated fat and sodium, though often less than aged cheeses."
quick cooking oat,cardiovascular disease,positive,"Excellent source of soluble fiber (beta-glucan), which helps lower cholesterol."
quick rise yeast,cardiovascular disease,neutral,
quince,cardiovascular disease,positive,A fruit that provides heart-healthy fiber and antioxidants.
quince paste,cardiovascular disease,negative,Typically contains a very high amount of added sugar.
quinoa,cardiovascular disease,positive,"A whole grain rich in fiber, protein, and heart-healthy fats."
rabbit,cardiovascular disease,positive,"A lean source of protein, low in saturated fat compared to red meat."
radish,cardiovascular disease,positive,Low-calorie vegetable that provides fiber and antioxidants.
raisin,cardiovascular disease,positive,"Good source of fiber and potassium, but should be consumed in moderation due to high sugar content."
ramen noodle,cardiovascular disease,very negative,"Typically highly processed, made from refined flour, and served with very high-sodium seasoning packets."
rapeseed oil,cardiovascular disease,positive,"High in monounsaturated fats and a source of omega-3 fatty acids, which are beneficial for heart health."
raspberry,cardiovascular disease,positive,"Rich in fiber, antioxidants, and vitamins, which help reduce inflammation and improve heart health."
raspberry flavored soda water,cardiovascular disease,neutral,
raspberry jam,cardiovascular disease,negative,"High in added sugar, which can contribute to weight gain and poor metabolic health."
recao,cardiovascular disease,neutral,
recaito,cardiovascular disease,negative,Commercially prepared versions are often very high in sodium.
red bean curd,cardiovascular disease,negative,Typically preserved in brine and is very high in sodium.
red bean paste,cardiovascular disease,negative,Typically contains a high amount of added sugar.
red bell pepper,cardiovascular disease,positive,"Rich in antioxidants, potassium, and vitamins A and C, which support heart health."
red cabbage,cardiovascular disease,positive,High in fiber and heart-protective antioxidants like anthocyanins.
red candied cherry,cardiovascular disease,very negative,Extremely high in added sugar with minimal nutritional value.
red caviar,cardiovascular disease,negative,"While a source of omega-3s, it is extremely high in sodium and cholesterol."
red chile,cardiovascular disease,positive,"Contains capsaicin, which may have anti-inflammatory and antioxidant benefits."
red chile flake,cardiovascular disease,positive,"Contains capsaicin, which may have anti-inflammatory and antioxidant benefits."
red chile paste,cardiovascular disease,negative,Commercially prepared versions are often very high in sodium.
red chile pepper,cardiovascular disease,positive,"Contains capsaicin, which may have anti-inflammatory and antioxidant benefits."
red chile powder,cardiovascular disease,positive,"Contains capsaicin, which may have anti-inflammatory and antioxidant benefits."
red chile sauce,cardiovascular disease,negative,Commercially prepared versions are often high in sodium and sometimes added sugar.
red chili pepper,cardiovascular disease,positive,"Contains capsaicin, which may have anti-inflammatory and antioxidant benefits."
red chili powder,cardiovascular disease,positive,"Contains capsaicin, which may have anti-inflammatory and antioxidant benefits."
red cooking wine,cardiovascular disease,negative,"Contains very high levels of sodium, added for preservation."
red currant,cardiovascular disease,positive,"A good source of fiber, antioxidants, and vitamin C."
red currant jam,cardiovascular disease,negative,High in added sugar.
red curry paste,cardiovascular disease,negative,Commercially prepared versions are typically very high in sodium.
red food color,cardiovascular disease,neutral,
red food coloring,cardiovascular disease,neutral,
red grape,cardiovascular disease,positive,Contains heart-healthy antioxidants like resveratrol and polyphenols.
red kidney bean,cardiovascular disease,positive,"Excellent source of soluble fiber, plant-based protein, and potassium, which help lower cholesterol and blood pressure."
red lentil,cardiovascular disease,positive,"Rich in fiber, plant-based protein, and folate, which are beneficial for heart health."
red miso,cardiovascular disease,negative,"While fermented foods can be beneficial, miso is typically very high in sodium."
red onion,cardiovascular disease,positive,"Contains heart-healthy antioxidants, such as quercetin, which has anti-inflammatory properties."
red pepper,cardiovascular disease,positive,"Rich in antioxidants like vitamin C (bell peppers) or capsaicin (chili peppers), both beneficial for heart health."
red pepper flake,cardiovascular disease,positive,"Contains capsaicin, which may have anti-inflammatory and antioxidant benefits."
red potato,cardiovascular disease,positive,"A good source of potassium and fiber (especially with skin), which can help manage blood pressure."
red skinned potato,cardiovascular disease,positive,"A good source of potassium and fiber (especially with skin), which can help manage blood pressure."
red snapper,cardiovascular disease,positive,"A lean source of protein and omega-3 fatty acids, which are beneficial for heart health."
red table wine,cardiovascular disease,positive,"Moderate consumption may be beneficial due to antioxidants like resveratrol, but excessive intake is harmful."
red thai curry paste,cardiovascular disease,negative,Commercially prepared versions are typically very high in sodium.
red wine,cardiovascular disease,positive,"Moderate consumption may be beneficial due to antioxidants like resveratrol, but excessive intake is harmful."
red wine vinegar,cardiovascular disease,positive,May help with blood sugar control and is a sodium-free way to add flavor.
refrigerated pie crust,cardiovascular disease,very negative,"Usually made with refined flour, high in unhealthy fats (saturated or trans fats) and sodium."
rennet tablet,cardiovascular disease,neutral,
rhubarb,cardiovascular disease,positive,Good source of fiber and antioxidants.
rib eye steak,cardiovascular disease,very negative,"A fatty cut of red meat, very high in saturated fat, which is linked to increased LDL (bad) cholesterol."
rice,cardiovascular disease,negative,White rice is a refined carbohydrate that can raise blood sugar levels and lacks the fiber of whole grains.
