ingredient,effect,reason
kalamata olive,negative,"While a source of healthy monounsaturated fats, they are cured in brine and are extremely high in sodium, which can increase blood pressure."
kale,positive,"Rich in antioxidants, fiber, and potassium, which support heart health by lowering blood pressure and cholesterol."
kashmiri chile pepper,neutral,
kasseri cheese,negative,"High in saturated fat and sodium, which can contribute to high blood pressure and elevated cholesterol levels."
kecap manis,negative,"Very high in added sugar and sodium, both of which are detrimental to cardiovascular health."
kefir,positive,Contains probiotics and peptides that may help lower blood pressure and cholesterol. Choose low-fat versions for best results.
ketchup,negative,"Typically high in added sugar and sodium, which can contribute to high blood pressure and other cardiovascular risk factors."
key lime juice,positive,"A good source of vitamin C and antioxidants, with no sodium or fat."
kidney bean,positive,"High in soluble fiber, which helps lower cholesterol, and potassium, which helps control blood pressure."
kielbasa,very negative,"A highly processed meat, very high in sodium and saturated fat, which are major risk factors for cardiovascular disease."
kielbasa sausage,very negative,"A highly processed meat, very high in sodium and saturated fat, which are major risk factors for cardiovascular disease."
kimchi,negative,"Very high in sodium, which can increase blood pressure, despite containing beneficial probiotics from fermentation."
kiwi,positive,"Rich in potassium, fiber, and antioxidants like vitamin C, which support heart health."
kluski noodle,neutral,
kohlrabi bulb,positive,"Good source of fiber and potassium, which are beneficial for blood pressure and overall heart health."
kombu,neutral,"While a source of minerals, it can be very high in sodium. Its overall effect depends on the amount consumed."
korean chile paste,negative,Typically very high in sodium and often contains added sugars.
korean chile powder,neutral,
korean chili pepper flake,neutral,
korean dang myun noodle,neutral,
korean fish cake,negative,A processed food that is typically high in sodium.
korean red chile flake,neutral,
korean red pepper flake,neutral,
korean red pepper powder,neutral,
korean soy bean paste,negative,"Extremely high in sodium, which is a major contributor to high blood pressure."
korean style short rib,negative,"A fatty cut of red meat, and marinades are often high in sodium and sugar."
kosher salt,negative,"High in sodium, which is a major contributor to high blood pressure."
lager beer,negative,"Alcohol consumption can raise blood pressure, triglyceride levels, and contribute to weight gain."
lamb,negative,"A red meat high in saturated fat, which can raise LDL (bad) cholesterol levels."
lamb chop,negative,"A cut of red meat containing saturated fat, which can raise LDL (bad) cholesterol."
lamb loin chop,negative,"A cut of red meat containing saturated fat, which can raise LDL (bad) cholesterol."
lamb meat,negative,"A red meat high in saturated fat, which can raise LDL (bad) cholesterol levels."
lamb shank,negative,"A fatty cut of red meat, high in saturated fat."
lamb shoulder,negative,"A fatty cut of red meat, high in saturated fat."
lamb stew meat,negative,"Often from tougher, fattier cuts of red meat, high in saturated fat."
lard,very negative,"Extremely high in saturated fat, which significantly raises LDL (bad) cholesterol, a major risk factor for cardiovascular disease."
lasagna noodle,neutral,
lavash bread,neutral,
lavender flower,neutral,
lean beef,neutral,"While lower in saturated fat than other cuts, it is still a source of it. Best consumed in moderation."
lean beef rib eye steak,negative,"Despite being labeled 'lean', rib eye is a naturally fatty cut of red meat, high in saturated fat."
lean ground beef,neutral,"While lower in saturated fat than regular ground beef, it is still a source of it. Best consumed in moderation."
lean pork,neutral,"Leaner cuts are better choices, but should still be consumed in moderation as part of a balanced diet."
leek,positive,"Part of the allium family, it contains heart-healthy compounds like flavonoids and is a good source of fiber."
leg of lamb,negative,"A cut of red meat containing saturated fat, which can raise LDL (bad) cholesterol."
lemon,positive,"Excellent source of vitamin C and antioxidants, which help protect blood vessels from damage."
lemon basil,neutral,
lemon extract,neutral,
lemon flavored rum,negative,"Contains alcohol and likely added sugars, both of which can negatively impact heart health."
lemon flavored soda,negative,"High in added sugar, which contributes to weight gain, inflammation, and other risk factors for heart disease."
lemon grass,neutral,
lemon juice,positive,Source of vitamin C and antioxidants; can be used as a salt substitute to lower sodium intake.
lemon lime soda,negative,"High in added sugar, which is a risk factor for obesity, type 2 diabetes, and heart disease."
lemon peel,positive,Contains beneficial flavonoids and fiber.
lemon pepper,neutral,
lemon pepper seasoning,negative,"Typically very high in sodium, which can raise blood pressure."
lemon rind,positive,Contains beneficial flavonoids and fiber.
lemon slice,positive,"A whole fruit source of vitamin C, antioxidants, and fiber."
lemon wedge,positive,"A whole fruit source of vitamin C, antioxidants, and fiber."
lemon zest,positive,Contains beneficial flavonoids and fiber.
lemonade concentrate,negative,Extremely high in added sugar.
lemongrass,positive,Contains antioxidants and has anti-inflammatory properties.
lemongrass paste,neutral,
lentil,positive,"Excellent source of heart-healthy fiber, plant-based protein, and folate."
lettuce,positive,"Low in calories and a source of vitamins and hydration, contributing to a healthy dietary pattern."
lettuce leaf,positive,"Low in calories and a source of vitamins and hydration, contributing to a healthy dietary pattern."
light beer,negative,Alcohol consumption can raise blood pressure and contribute to other cardiovascular risks.
light brown sugar,negative,"A form of added sugar, which is a risk factor for cardiovascular disease."
light corn syrup,negative,"A form of added sugar, which is a risk factor for cardiovascular disease."
light cream,negative,"Contains saturated fat, which can raise LDL (bad) cholesterol levels."
light rum,negative,Alcohol consumption can raise blood pressure and contribute to other cardiovascular risks.
light soy sauce,negative,"Typically very high in sodium, which can raise blood pressure."
lima bean,positive,"Good source of heart-healthy fiber, potassium, and plant-based protein."
lime,positive,Source of vitamin C and antioxidants.
lime juice,positive,Source of vitamin C and antioxidants; can be used as a salt substitute to lower sodium intake.
lime peel,positive,Contains beneficial flavonoids and fiber.
lime slice,positive,"A whole fruit source of vitamin C, antioxidants, and fiber."
lime wedge,positive,"A whole fruit source of vitamin C, antioxidants, and fiber."
lime zest,positive,Contains beneficial flavonoids and fiber.
lingonberry,positive,"Rich in antioxidants and polyphenols, which are beneficial for vascular health."
linguica,very negative,"A processed sausage high in sodium and saturated fat, both major risk factors for heart disease."
linguica sausage,very negative,"A processed sausage high in sodium and saturated fat, both major risk factors for heart disease."
linguine,negative,"A refined carbohydrate, which can negatively impact blood sugar and is associated with increased cardiovascular risk compared to whole grains."
linguine pasta,negative,"A refined carbohydrate, which can negatively impact blood sugar and is associated with increased cardiovascular risk compared to whole grains."
liquid smoke,neutral,
liquid smoke flavoring,neutral,
liquor,negative,Excessive alcohol consumption is a significant risk factor for high blood pressure and other cardiovascular diseases.
llautias,positive,"A type of root vegetable, providing heart-healthy fiber, potassium, and vitamins."
lobster,positive,"A good source of lean protein and omega-3 fatty acids. Best when steamed or baked, not fried or served with butter."
lobster meat,positive,A good source of lean protein and omega-3 fatty acids.
lobster tail,positive,A good source of lean protein and omega-3 fatty acids.
long grain basmati rice,negative,"A refined carbohydrate, which lacks the fiber of whole grains."
long grain brown rice,positive,"A whole grain, rich in fiber, magnesium, and other nutrients that are protective for the heart."
long grain rice,negative,"Typically refers to white rice, a refined carbohydrate that lacks the fiber of whole grains."
long grain white rice,negative,"A refined carbohydrate, which lacks the fiber of whole grains."
longhorn cheese,negative,"High in saturated fat and sodium, which can raise LDL cholesterol and blood pressure."
low sodium soy sauce,neutral,
lumpia wrapper,negative,"Made from refined flour and often deep-fried, contributing refined carbs and unhealthy fats."
luncheon meat,very negative,"Highly processed meat, extremely high in sodium, preservatives, and saturated fat."
lutefisk,neutral,
macadamia nut,positive,"Rich in heart-healthy monounsaturated fats, which can help lower LDL (bad) cholesterol."
macapuno,negative,"A type of coconut, which is high in saturated fat."
macapuno string,negative,"A type of coconut, which is high in saturated fat."
macaroni,negative,A refined carbohydrate which can raise triglyceride levels and contribute to weight gain if consumed in excess.
mace,neutral,
mackerel,positive,"An oily fish, excellent source of heart-healthy omega-3 fatty acids (EPA and DHA)."
madras curry powder,positive,A blend of spices (like turmeric) which have anti-inflammatory properties.
mahlab,neutral,
mahleb,neutral,
makrut lime leaf,positive,A herb that contains beneficial antioxidants.
malt vinegar,neutral,
mandarin orange peel,positive,"A source of beneficial flavonoids like hesperidin, which may support blood vessel health."
mango nectar,negative,"Typically contains a high amount of added sugar, which is a risk factor for cardiovascular disease."
manzanilla olive,negative,"While olives contain healthy fats, they are typically brined and extremely high in sodium, which raises blood pressure."
maple syrup,negative,"A form of added sugar, which contributes to risk factors like obesity and high triglycerides."
maraschino cherry,negative,"Processed with a large amount of added sugar and artificial coloring, lacking the nutrients of fresh cherries."
margarine,negative,"Can be a source of saturated and trans fats (depending on the type), and is a highly processed food."
marjoram,positive,A herb that contains beneficial antioxidants.
marsala,neutral,
marzipan,negative,"Extremely high in sugar, which is detrimental to cardiovascular health."
masa harina,positive,"A whole-grain corn flour that provides fiber, which is beneficial for heart health."
masala curry powder,positive,A blend of spices which often have anti-inflammatory properties.
mascarpone cheese,very negative,Extremely high in saturated fat and calories.
matzo cake meal,negative,"A refined carbohydrate product, similar to white flour, which can negatively impact blood sugar levels."
matzo meal,negative,"A refined carbohydrate product, similar to white flour, which can negatively impact blood sugar levels."
mayonnaise,negative,"High in calories, fat, and often sodium."
mayonnaise style sandwich spread,negative,"High in calories, fat, sodium, and often contains added sugars."
mcintosh apple,positive,"A good source of soluble fiber (pectin) and flavonoids, which help lower cholesterol and blood pressure."
meat tenderizer,very negative,"Primary ingredient is typically salt (sodium), which significantly raises blood pressure."
meatball,very negative,Typically made from red meat high in saturated fat and prepared with high amounts of sodium.
meatloaf mix,negative,Usually high in sodium and refined carbohydrates (breadcrumbs).
medium grain rice,negative,"Typically refers to white rice, a refined carbohydrate that can raise blood sugar and lacks fiber."
medium grain white rice,negative,"A refined carbohydrate stripped of fiber, bran, and nutrients, which can negatively impact blood sugar."
medjool date,positive,"A good source of fiber and potassium, which are beneficial for blood pressure control and heart health."
metal skewer,neutral,
mexican cheese blend,very negative,A mix of cheeses that is very high in saturated fat and sodium.
mexican oregano,positive,A herb that contains beneficial antioxidants.
miami style sazon seasoning,very negative,Seasoning blends like this are typically extremely high in sodium.
mild cheddar cheese,very negative,High in saturated fat and sodium.
mild italian sausage,very negative,"A processed meat, which is high in saturated fat, sodium, and nitrates, all linked to increased CVD risk."
mild italian sausage link,very negative,"A processed meat, which is high in saturated fat, sodium, and nitrates, all linked to increased CVD risk."
milk,negative,"Unless specified as low-fat, milk (especially whole or 2%) is a significant source of saturated fat."
milk cracker crumb,negative,"A processed, refined carbohydrate, often containing added sodium and unhealthy fats."
milkfish,positive,An oily fish that is a good source of heart-healthy omega-3 fatty acids.
millet,positive,"A whole grain rich in fiber, magnesium, and other nutrients beneficial for heart health."
miniature cocktail sausage,very negative,"A highly processed meat product, very high in sodium, saturated fat, and preservatives."
miniature marshmallow,negative,Composed almost entirely of added sugar with no nutritional value.
mint,positive,A herb that contains beneficial antioxidants.
mint leaf,positive,A herb that contains beneficial antioxidants.
mint sprig,positive,A herb that contains beneficial antioxidants.
mirin,negative,A sweet cooking wine that contributes added sugar to dishes.
miso paste,negative,"High in sodium, which can increase blood pressure."
mixed berry,positive,Rich in antioxidants and flavonoids that improve blood vessel function and lower blood pressure.
mixed candied fruit,very negative,"Extremely high in added sugar, a major risk factor for obesity, high triglycerides, and inflammation."
mixed color bell pepper,positive,"Excellent source of vitamin C and antioxidants, which help reduce inflammation."
mixed fruit,positive,"Provides fiber, vitamins, and antioxidants beneficial for heart health."
mixed herb,positive,Rich in antioxidants and can be used to reduce salt in cooking.
mixed spice,positive,Contain anti-inflammatory compounds and can be used as a salt substitute for flavor.
mixed vegetable,positive,"High in fiber, vitamins, and minerals while being low in calories, supporting overall cardiovascular health."
mixed wild mushroom,positive,"Source of potassium, fiber, and antioxidants that support heart health."
mochiko,negative,A refined carbohydrate that can raise blood sugar and triglycerides without providing significant fiber.
mojo marinade,negative,"Typically very high in sodium and oil, which can negatively impact blood pressure and cholesterol."
molasses,negative,"A concentrated source of sugar, which contributes to cardiovascular risk factors when consumed in excess."
monkfish,positive,"A lean fish providing protein and some omega-3 fatty acids, which are beneficial for heart health."
monosodium glutamate,negative,"Contains sodium, which contributes to high blood pressure."
monterey jack cheese,negative,"High in saturated fat and sodium, both of which are risk factors for heart disease."
montreal style steak seasoning,negative,"Typically very high in sodium, a primary driver of high blood pressure."
morcilla sausage,very negative,"A processed meat high in sodium, saturated fat, and cholesterol, strongly linked to increased cardiovascular risk."
mozzarella cheese,negative,"Source of saturated fat and sodium, which should be limited for heart health."
multicolored candy sprinkle,very negative,"Composed almost entirely of sugar and artificial additives with no nutritional value, contributing to heart disease risk factors."
mung bean,positive,"Excellent source of fiber and potassium, which help lower cholesterol and blood pressure."
mung bean sprout,positive,Low-calorie source of vitamins and fiber.
muscatel wine,negative,"As an alcoholic beverage, it can raise blood pressure and triglycerides; sweet wines also contain more sugar."
mushroom,positive,"Low in calories and sodium, and a good source of potassium and antioxidants."
mushroom cap,positive,"Same as whole mushrooms; low in calories and sodium, and a good source of potassium and antioxidants."
mussel,positive,Excellent source of heart-healthy omega-3 fatty acids and lean protein.
mustard,negative,"Prepared mustard is often high in sodium, which can increase blood pressure."
mustard green,positive,"A leafy green rich in vitamins (especially K), fiber, and antioxidants."
mustard oil,negative,"Some varieties are high in erucic acid, which has been linked to heart problems in animal studies."
mustard powder,positive,Ground mustard seed can add flavor without sodium and contains beneficial plant compounds.
mustard seed,positive,Rich in antioxidants and anti-inflammatory compounds.
napa cabbage,positive,A low-calorie vegetable providing fiber and vitamins beneficial for heart health.
navel orange,positive,"High in vitamin C, potassium, and soluble fiber, which can help lower cholesterol."
navy bean,positive,"Rich in soluble fiber, which is highly effective at lowering LDL (bad) cholesterol."
new potato,positive,"Good source of potassium, which helps regulate blood pressure, especially when eaten with the skin."
new york strip steak,very negative,"A cut of red meat high in saturated fat, linked to an increased risk of cardiovascular disease."
non dairy creamer,very negative,"Often contains hydrogenated oils (trans fats) and sugar, which are extremely damaging to cardiovascular health."
nonfat evaporated milk,neutral,
nonfat plain yogurt,positive,Provides protein and calcium without saturated fat or added sugars.
noodle,negative,"Typically a refined carbohydrate, which can negatively impact blood sugar and triglyceride levels."
nori,positive,A low-calorie seaweed containing minerals and a small amount of omega-3 fatty acids.
nori seaweed,positive,A low-calorie seaweed containing minerals and a small amount of omega-3 fatty acids.
nori seaweed sheet,positive,A low-calorie seaweed containing minerals and a small amount of omega-3 fatty acids.
nuoc mam,very negative,"Extremely high in sodium, a major contributor to high blood pressure."
nut,positive,"Rich in unsaturated fats, fiber, and plant sterols, which help lower bad cholesterol."
nutmeg,neutral,
oat,positive,"Contains beta-glucan, a soluble fiber proven to lower cholesterol."
oatmeal,positive,"Made from oats, it is rich in beta-glucan, a soluble fiber proven to lower cholesterol."
octopus,positive,A lean source of protein that is low in saturated fat.
oil,neutral,"The effect depends entirely on the type of oil (e.g., olive oil is positive, hydrogenated oil is very negative)."
okra,positive,"High in soluble fiber, which helps lower cholesterol and manage blood sugar."
okra pod,positive,"High in soluble fiber, which can help lower cholesterol and blood sugar levels."
olive,positive,Rich in heart-healthy monounsaturated fats and antioxidants that reduce inflammation.
olive oil,positive,"A primary source of monounsaturated fats, which helps lower bad (LDL) cholesterol and reduce inflammation."
onion,positive,"Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation."
onion powder,positive,"A concentrated source of onion's beneficial compounds, like antioxidants."
onion salt,negative,"Very high in sodium, which can raise blood pressure, a major risk factor for heart disease."
orange,positive,"Good source of potassium, vitamin C, and flavonoids, which support blood vessel health and may lower blood pressure."
orange bell pepper,positive,Excellent source of vitamin C and other antioxidants that protect against cellular damage.
orange blossom,neutral,
orange blossom honey,negative,A form of added sugar. High intake of added sugars is linked to increased risk factors for heart disease.
orange blossom water,neutral,
orange flower water,neutral,
orange gel food coloring,neutral,
orange juice,negative,"A concentrated source of sugar without the fiber of the whole fruit, which can negatively impact blood sugar and weight."
orange juice concentrate,negative,"A highly concentrated source of sugar, often with added sugars, lacking the beneficial fiber of whole fruit."
orange liqueur,negative,"Contains both alcohol and high amounts of sugar, which can contribute to high blood pressure and triglycerides."
orange peel,positive,"Rich in flavonoids like hesperidin, which may help lower cholesterol and blood pressure."
orange zest,positive,"Rich in flavonoids like hesperidin, which may help lower cholesterol and blood pressure."
oregano,positive,Rich in antioxidants that help combat inflammation and oxidative stress.
oregano leaf,positive,Rich in antioxidants that help combat inflammation and oxidative stress.
orzo pasta,neutral,
oxtail,negative,"A fatty cut of red meat, high in saturated fat which can raise LDL (bad) cholesterol."
oyster sauce,negative,"Typically very high in sodium, which contributes to high blood pressure."
palm oil,very negative,"Very high in saturated fat (palmitic acid), which significantly raises LDL (bad) cholesterol."
palm sugar,negative,"A form of added sugar, which contributes to risk factors like obesity and high triglycerides when consumed in excess."
panang curry paste,negative,Typically very high in sodium and can contain saturated fats.
pandan leaf,neutral,
pandan paste,negative,Primarily a source of added sugar and flavorings.
paneer,negative,"A source of saturated fat, which can increase LDL (bad) cholesterol levels."
panko bread crumb,neutral,
panko crumb,neutral,
panquehue cheese,negative,"High in saturated fat and sodium, both of which are risk factors for heart disease."
paprika,positive,"Contains antioxidants like carotenoids, which help protect against oxidative stress."
parmesan cheese,negative,"Very high in sodium and saturated fat, which can negatively impact blood pressure and cholesterol."
parmigiano reggiano,negative,"Very high in sodium and saturated fat, which can negatively impact blood pressure and cholesterol."
parmigiano reggiano cheese,negative,"Very high in sodium and saturated fat, which can negatively impact blood pressure and cholesterol."
parsley,positive,"Rich in vitamin K and antioxidants, which support heart and blood vessel health."
parsley leaf,positive,"Rich in vitamin K and antioxidants, which support heart and blood vessel health."
parsnip,positive,"Good source of potassium and fiber, which help manage blood pressure and cholesterol."
partridge breast half,neutral,
passata,positive,"Made from tomatoes, which are rich in lycopene and potassium, beneficial for heart health. Assumes no added salt."
passion fruit,positive,"High in dietary fiber and potassium, which can help lower cholesterol and blood pressure."
pasta,neutral,
pasta sauce,negative,Commercially prepared versions are often very high in sodium and added sugars.
pastry,very negative,"Typically made with refined flour and high amounts of saturated or trans fats, which raise bad cholesterol."
pastry double crust pie,very negative,"High in refined carbohydrates, saturated and/or trans fats, and often sugar."
pastry flour,neutral,
pate,very negative,"Typically very high in saturated fat, cholesterol, and sodium."
pea,positive,"Good source of heart-healthy fiber, plant-based protein, and minerals."
pea pod,positive,"Excellent source of dietary fiber and vitamins, which support overall cardiovascular health."
peach,positive,"Rich in fiber, potassium, and antioxidants which support heart health."
peach flavored vodka,negative,"Contains alcohol and often added sugars, both of which can negatively impact cardiovascular health when consumed in excess."
peach schnapps,negative,"High in sugar and alcohol, which can contribute to high blood pressure, triglycerides, and weight gain."
peach slice,positive,"Rich in fiber, potassium, and antioxidants which support heart health."
peanut,positive,"Contains heart-healthy monounsaturated fats, fiber, and plant protein. Choose unsalted versions."
peanut butter,negative,"Commercial varieties often contain added sugars, sodium, and unhealthy hydrogenated oils, which can increase LDL cholesterol and blood pressure."
peanut oil,positive,"Rich in monounsaturated fats, which can help lower bad cholesterol levels."
peanut sauce,negative,"Often high in sodium, sugar, and saturated fats, which can contribute to high blood pressure and cholesterol."
pear,positive,"Excellent source of dietary fiber, which helps lower cholesterol and blood pressure."
pear juice,negative,"Lacks the fiber of whole fruit and is a concentrated source of sugar, which can negatively impact blood sugar and triglycerides."
pearl barley,positive,"A whole grain rich in soluble fiber (beta-glucans), which is known to lower cholesterol levels."
pearl couscous,neutral,
pearl onion,positive,Contains antioxidants and compounds that may help reduce blood pressure and inflammation.
pearl sugar,negative,"A form of refined sugar, which contributes to weight gain, inflammation, and elevated triglycerides when consumed in excess."
pecan,positive,"Rich in heart-healthy monounsaturated fats, fiber, and antioxidants that can help lower LDL cholesterol."
pecan half,positive,"Rich in heart-healthy monounsaturated fats, fiber, and antioxidants that can help lower LDL cholesterol."
pecorino romano cheese,very negative,"Extremely high in sodium and saturated fat, both of which are major risk factors for high blood pressure and high cholesterol."
pectin,positive,A type of soluble fiber that can help lower LDL (bad) cholesterol levels.
penne,neutral,
penne pasta,neutral,
pepper,positive,Contains antioxidants and anti-inflammatory compounds; bell peppers are rich in vitamin C and potassium.
pepper jack cheese,negative,"High in saturated fat and sodium, which can contribute to high cholesterol and blood pressure."
pepper sauce,negative,"Typically very high in sodium, which can increase blood pressure."
peppercorn,positive,"Contains piperine, an antioxidant with anti-inflammatory properties that may benefit heart health."
pepperoni,very negative,"A processed meat high in sodium, saturated fat, and nitrates, all strongly linked to increased risk of cardiovascular disease."
persian cucumber,positive,"Low in calories and a source of potassium and fiber, which support healthy blood pressure."
persian lime,positive,"Source of vitamin C and flavonoids, which have antioxidant properties and support blood vessel health."
persian rose petal,neutral,
petite diced tomato,positive,"Excellent source of lycopene, potassium, and antioxidants, which are linked to lower blood pressure and reduced cardiovascular risk."
petite pea,positive,"Good source of fiber, plant protein, and heart-healthy micronutrients."
pho ga soup seasoning,very negative,"Soup seasoning packets are typically extremely high in sodium, a major contributor to high blood pressure."
phyllo dough,neutral,
picante sauce,negative,"Commercial varieties are often high in sodium, which can raise blood pressure."
pickle,very negative,"Extremely high in sodium due to the brining process, which significantly contributes to high blood pressure."
pickled ginger,negative,The pickling process adds significant amounts of sodium and often sugar.
pickled mustard cabbage,negative,"The pickling process adds a large amount of sodium, which can increase blood pressure."
pickling spice,positive,A blend of spices which are rich in antioxidants and anti-inflammatory compounds.
pie crust,very negative,"Usually made with refined flour and either shortening (containing trans fats) or butter (high in saturated fat), both of which raise bad cholesterol."
pie crust mix,very negative,Contains refined flour and processed fats (like hydrogenated oils) that are detrimental to cholesterol levels and heart health.
pie shell,very negative,"Pre-made shells are typically high in refined flour and unhealthy fats like shortening or palm oil, which raise LDL cholesterol."
pigs foot,very negative,"Very high in saturated fat and cholesterol, which contribute to the development of atherosclerosis."
piloncillo,negative,"A form of concentrated sugar; excessive sugar intake is linked to obesity, inflammation, and high triglycerides."
pimento,positive,"A type of pepper rich in vitamins and antioxidants like capsaicin, which may have cardiovascular benefits."
pimento stuffed green olive,negative,"While olives contain healthy fats, they are packed in brine, making them very high in sodium, which raises blood pressure."
pimento stuffed olive,negative,"Very high in sodium due to the curing and brining process, which is a risk factor for hypertension."
pimiento pepper,positive,"A type of pepper rich in vitamins and antioxidants like capsaicin, which may have cardiovascular benefits."
pimiento stuffed green olive,negative,"Very high in sodium due to the curing and brining process, which is a risk factor for hypertension."
pimiento stuffed olive,negative,"Very high in sodium due to the curing and brining process, which is a risk factor for hypertension."
pina colada drink mix,very negative,"Extremely high in added sugar, which contributes to high triglycerides, weight gain, and inflammation."
pine nut,positive,"Contains heart-healthy monounsaturated fats, magnesium, and vitamin E, which support cardiovascular function."
pineapple,positive,"Rich in fiber, vitamins, and antioxidants like bromelain, which support heart health by reducing inflammation."
pineapple chunk,positive,"Rich in fiber, vitamins, and antioxidants like bromelain, which support heart health by reducing inflammation."
pineapple juice,negative,"Lacks the fiber of whole fruit and is often high in sugar, which can negatively impact blood sugar and triglyceride levels."
pineapple preserve,very negative,"Extremely high in added sugar, a major contributor to obesity, type 2 diabetes, and cardiovascular disease."
pineapple ring,positive,"A form of whole pineapple, rich in fiber, vitamins, and antioxidants that support heart health."
pineapple tidbit,positive,"A form of whole pineapple, rich in fiber, vitamins, and antioxidants that support heart health."
pink food coloring,neutral,
pink himalayan salt,negative,"High in sodium, which is a primary driver of high blood pressure, a major risk factor for cardiovascular disease."
pinot noir wine,positive,"Contains antioxidants like resveratrol, which may have heart-protective benefits when consumed in moderation."
pinto bean,positive,"Excellent source of soluble fiber, which helps lower cholesterol, and potassium, which helps control blood pressure."
pisco,negative,"Alcohol, particularly spirits, can raise blood pressure and triglyceride levels, increasing cardiovascular risk."
pistachio,positive,"Rich in heart-healthy monounsaturated fats, fiber, and antioxidants that can help lower bad (LDL) cholesterol."
pistachio nut,positive,"Rich in heart-healthy monounsaturated fats, fiber, and antioxidants that can help lower bad (LDL) cholesterol."
pita bread,negative,"Typically made from refined white flour, which lacks fiber and can contribute to high blood sugar and triglycerides."
pita bread round,negative,"Typically made from refined white flour, which lacks fiber and can contribute to high blood sugar and triglycerides."
pita round,negative,"Typically made from refined white flour, which lacks fiber and can contribute to high blood sugar and triglycerides."
pizza crust,negative,"Usually made with refined flour and can be high in sodium and simple carbohydrates, which are detrimental to heart health."
pizza dough,negative,"Usually made with refined flour and can be high in sodium and simple carbohydrates, which are detrimental to heart health."
pizza sauce,negative,"Commercially prepared versions are often very high in sodium and added sugar, which contribute to high blood pressure."
plain low fat yogurt,positive,"Good source of probiotics, calcium, and protein, which may help manage blood pressure and cholesterol levels. Plain varieties avoid added sugars."
plain yogurt,positive,"Good source of probiotics, calcium, and protein, which may help manage blood pressure and cholesterol levels. Plain varieties avoid added sugars."
plantain,positive,"Rich in potassium and fiber, which are beneficial for blood pressure control and overall heart health."
plantain leaf,neutral,
plum,positive,Contains fiber and antioxidants that can help reduce inflammation and improve cholesterol levels.
plum preserve,very negative,"Extremely high in added sugar, a major contributor to obesity, type 2 diabetes, and cardiovascular disease."
plum tomato,positive,"Excellent source of lycopene, an antioxidant that is strongly linked to improved cardiovascular health, and potassium."
poblano pepper,positive,"Contains capsaicin and antioxidants like vitamin C, which may help improve cholesterol levels and blood pressure."
poi,positive,"Made from taro root, a good source of dietary fiber and potassium, which supports heart health."
polenta,positive,"A whole grain food that provides complex carbohydrates and fiber, which are beneficial for heart health."
polish kielbasa,very negative,"A processed meat high in sodium and saturated fat, both of which are strongly linked to an increased risk of cardiovascular disease."
polish sausage,very negative,"A processed meat high in sodium and saturated fat, both of which are strongly linked to an increased risk of cardiovascular disease."
polskie ogorki,negative,"Pickled cucumbers that are extremely high in sodium, which contributes to high blood pressure."
pomegranate juice,positive,"High in potent antioxidants that have been shown to improve blood flow, reduce arterial plaque, and lower blood pressure."
pomegranate molasses,negative,"A concentrated syrup that often contains high amounts of added sugar, negating potential benefits."
pomegranate seed,positive,"Rich in fiber and heart-healthy antioxidants, which can help reduce inflammation and improve cholesterol profiles."
pomegranate syrup,negative,"A concentrated syrup that often contains high amounts of added sugar, negating potential benefits."
poppy seed,positive,"Contains fiber, minerals, and healthy unsaturated fats that can be beneficial for heart health in moderation."
porcini mushroom,positive,"Good source of potassium, fiber, and antioxidants, which support healthy blood pressure and overall cardiovascular function."
pork,negative,"General term for a red meat that is often high in saturated fat, a risk factor for high cholesterol and heart disease."
pork back fat,very negative,"Almost pure saturated fat, which directly raises LDL (bad) cholesterol levels, a major risk factor for heart disease."
pork backfat,very negative,"Almost pure saturated fat, which directly raises LDL (bad) cholesterol levels, a major risk factor for heart disease."
pork belly,very negative,"Extremely high in saturated fat, which significantly raises LDL (bad) cholesterol and increases cardiovascular risk."
pork breakfast chop,negative,"Tends to be a fatty cut of pork, high in saturated fat, contributing to elevated cholesterol."
pork butt,very negative,"A fatty cut of meat from the shoulder, very high in saturated fat, which increases LDL (bad) cholesterol."
pork butt roast,very negative,"A fatty cut of meat from the shoulder, very high in saturated fat, which increases LDL (bad) cholesterol."
pork chop,negative,"Can be high in saturated fat, especially if the fat is not trimmed, contributing to elevated cholesterol levels."
pork cutlet,negative,"As a form of red meat, it contains saturated fat; leaner than other cuts but still contributes to overall intake."
pork loin,neutral,
pork loin chop,neutral,
pork loin roast,neutral,
pork roast,negative,"A cut of red meat, which is a source of saturated fat."
pork sausage,very negative,"Processed red meat, very high in both saturated fat and sodium."
pork shank,negative,"A fatty cut of red meat, high in saturated fat."
pork shoulder,negative,"A fatty cut of red meat, high in saturated fat."
pork shoulder roast,negative,"A fatty cut of red meat, high in saturated fat."
pork sirloin,negative,"A leaner cut of red meat, but still a source of saturated fat."
pork sirloin roast,negative,"A leaner cut of red meat, but still a source of saturated fat."
pork sparerib,negative,"A fatty cut of red meat, high in saturated fat."
pork steak,negative,"A cut of red meat, which is a source of saturated fat."
pork stew meat,negative,"Often from fatty cuts of red meat, high in saturated fat."
pork tenderloin,neutral,
port wine,negative,Contains alcohol and sugar; excessive intake is a risk factor for heart disease.
port wine flavored gelatin mix,negative,High in added sugar with no nutritional benefits.
portobello mushroom,positive,"Good source of potassium and antioxidants, which support heart health."
portobello mushroom cap,positive,"Good source of potassium and antioxidants, which support heart health."
portuguese chourico sausage,very negative,"Processed red meat, very high in both saturated fat and sodium."
