ingredient,effect,reason
mushroom cap,negative,"High in potassium, which needs to be limited."
mussel,negative,Can be high in sodium and potassium; portion control is essential.
mustard,very negative,Prepared mustard is typically very high in sodium.
mustard green,negative,"High in potassium, which often needs to be limited."
mustard oil,neutral,
mustard powder,positive,A good salt-free alternative for adding flavor to dishes.
mustard seed,positive,Can be used to add flavor without adding sodium.
napa cabbage,positive,"A low-potassium vegetable, making it a good choice for a renal diet."
navel orange,very negative,"Very high in potassium, a mineral that must be strictly limited in most renal diets."
navy bean,negative,High in both potassium and phosphorus.
new potato,very negative,Very high in potassium. Leaching can help but does not remove all of it.
new york strip steak,negative,High in protein and phosphorus; portion sizes must be strictly controlled.
non dairy creamer,very negative,"Often contains phosphate additives, which are easily absorbed and very harmful for kidney patients."
nonfat evaporated milk,very negative,"A concentrated source of phosphorus and potassium, which must be limited."
nonfat plain yogurt,negative,High in phosphorus and potassium.
noodle,neutral,
nori,negative,Seaweed is typically very high in potassium and can be high in sodium.
nori seaweed,negative,High in potassium and potentially sodium.
nori seaweed sheet,negative,High in potassium and potentially sodium.
nuoc mam,very negative,"Extremely high in sodium, making it unsuitable for a renal diet."
nut,very negative,Generally very high in both potassium and phosphorus.
nutmeg,positive,A good salt-free spice for flavoring.
oat,negative,"A whole grain that is a source of phosphorus, which needs to be limited."
oatmeal,negative,"A source of phosphorus, which needs to be limited."
octopus,negative,A source of protein but also contains a significant amount of phosphorus.
oil,positive,"A source of calories without sodium, potassium, or phosphorus. Olive oil has anti-inflammatory benefits."
okra,neutral,
okra pod,positive,"A good source of fiber, low in sodium and a good vegetable choice for a kidney-friendly diet."
olive,very negative,"Typically cured in brine, making them extremely high in sodium."
olive oil,positive,"A healthy, phosphorus-free fat source with anti-inflammatory properties, excellent for kidney-friendly cooking."
onion,positive,"Low in sodium, potassium, and phosphorus; an excellent base for flavoring dishes without added salt."
onion powder,positive,A good salt-free alternative for adding flavor to food.
onion salt,very negative,Contains a very high amount of sodium due to the added salt.
orange,negative,"High in potassium, which needs to be limited on most kidney diets."
orange bell pepper,positive,Low in potassium and a good source of vitamins A and C.
orange blossom,neutral,
orange blossom honey,negative,"A source of sugar that should be limited, and it contains more potassium than other sweeteners."
orange blossom water,neutral,
orange flower water,neutral,
orange gel food coloring,neutral,
orange juice,very negative,"A concentrated source of potassium, which is typically restricted in a kidney diet."
orange juice concentrate,very negative,A highly concentrated source of potassium that should be avoided.
orange liqueur,negative,"Contains alcohol and sugar, which should be limited, and may contain significant potassium."
orange peel,negative,Contains a significant amount of potassium.
orange zest,neutral,"Typically used in very small amounts, making the potassium contribution negligible."
oregano,positive,A salt-free herb that is excellent for flavoring food.
oregano leaf,positive,A salt-free herb that is excellent for flavoring food.
orzo pasta,neutral,Refined pasta is generally low in potassium and phosphorus.
oxtail,negative,"High in protein and phosphorus, which need to be limited and portion-controlled."
oyster sauce,very negative,Extremely high in sodium.
palm oil,neutral,
palm sugar,negative,A source of sugar that can be high in potassium.
panang curry paste,very negative,Commercially prepared pastes are typically very high in sodium.
pandan leaf,neutral,
pandan paste,neutral,
paneer,negative,A type of cheese that is high in protein and phosphorus.
panko bread crumb,negative,Can be high in sodium and may contain phosphorus additives.
panko crumb,negative,Can be high in sodium and may contain phosphorus additives.
panquehue cheese,very negative,"Like most cheeses, it is high in sodium, phosphorus, and protein."
paprika,positive,A salt-free spice that is excellent for flavoring food.
parmesan cheese,very negative,"Very high in sodium, phosphorus, and protein."
parmigiano reggiano,very negative,"Very high in sodium, phosphorus, and protein."
parmigiano reggiano cheese,very negative,"Very high in sodium, phosphorus, and protein."
parsley,neutral,"In small amounts as a garnish, it is fine. In large quantities, it is high in potassium."
parsley leaf,neutral,"In small amounts as a garnish, it is fine. In large quantities, it is high in potassium."
parsnip,negative,A root vegetable that is high in potassium.
partridge breast half,negative,"A source of animal protein and phosphorus, which need to be limited."
passata,very negative,"Made from tomatoes, which are very high in potassium."
passion fruit,negative,High in potassium.
pasta,neutral,Refined pasta is generally low in potassium and phosphorus.
pasta sauce,very negative,Typically tomato-based (high potassium) and very high in sodium.
pastry,negative,"Often high in unhealthy fats, refined flour, and sodium."
pastry double crust pie,negative,"High in unhealthy fats, refined flour, and sodium."
pastry flour,neutral,Refined flour is low in phosphorus and potassium.
pate,very negative,A processed meat product that is typically very high in sodium and phosphorus.
pea,negative,Contains moderate amounts of potassium and phosphorus and should be eaten in limited quantities.
pea pod,positive,A good source of fiber and lower in potassium than shelled peas.
peach,positive,"A low-potassium, low-sodium fruit that is generally safe for a renal diet."
peach flavored vodka,negative,Alcohol can dehydrate and put stress on the kidneys.
peach schnapps,negative,Alcohol and high sugar content can be harmful to kidney health.
peach slice,positive,"A low-potassium, low-sodium fruit. Choose peaches canned in juice over heavy syrup."
peanut,negative,"High in phosphorus and potassium, which should be limited in a renal diet."
peanut butter,negative,"High in phosphorus, potassium, and often contains added sodium."
peanut oil,neutral,
peanut sauce,very negative,"Typically very high in sodium, phosphorus, and potassium."
pear,positive,A low-potassium fruit that is a good choice for a kidney-friendly diet.
pear juice,negative,A concentrated source of sugar and potassium compared to the whole fruit; should be limited.
pearl barley,negative,A whole grain that is high in both potassium and phosphorus.
pearl couscous,neutral,"A refined wheat product, lower in phosphorus and potassium than whole grains."
pearl onion,positive,Low in potassium and a good way to add flavor without salt.
pearl sugar,neutral,
pecan,negative,Nuts are high in phosphorus and potassium.
pecan half,negative,Nuts are high in phosphorus and potassium.
pecorino romano cheese,very negative,Extremely high in both sodium and phosphorus.
pectin,neutral,
penne,neutral,Refined pasta is lower in phosphorus and potassium than whole grain versions.
penne pasta,neutral,Refined pasta is lower in phosphorus and potassium than whole grain versions.
pepper,positive,An excellent salt-free seasoning alternative to help control sodium intake.
pepper jack cheese,very negative,Processed cheese is very high in sodium and phosphorus additives.
pepper sauce,very negative,Typically extremely high in sodium.
peppercorn,positive,A good salt-free seasoning to help manage sodium intake.
pepperoni,very negative,"A processed, cured meat that is extremely high in sodium and phosphorus."
persian cucumber,positive,Low in potassium and a good source of hydration.
persian lime,positive,A good way to add flavor to food and drinks without adding sodium.
persian rose petal,neutral,
petite diced tomato,negative,Tomatoes and tomato products are very high in potassium.
petite pea,negative,Considered a higher potassium and phosphorus vegetable.
pho ga soup seasoning,very negative,Soup bases and seasoning packets are typically extremely high in sodium.
phyllo dough,neutral,"Made from refined flour, but check labels for sodium content."
picante sauce,very negative,"Very high in sodium and made from tomatoes, which are high in potassium."
pickle,very negative,Extremely high in sodium due to the brining and pickling process.
pickled ginger,negative,High in sodium from the pickling process.
pickled mustard cabbage,very negative,Very high in sodium from the pickling process.
pickling spice,positive,A good way to add flavor without adding salt.
pie crust,negative,Often high in sodium and may contain phosphorus additives.
pie crust mix,negative,Often high in sodium and phosphorus from leavening agents.
pie shell,negative,Often high in sodium and may contain phosphorus additives.
pigs foot,negative,"High in protein and phosphorus, and often prepared with large amounts of salt."
piloncillo,neutral,A type of unrefined sugar; should be limited as part of a healthy diet.
pimento,positive,A type of red pepper that is low in potassium.
pimento stuffed green olive,very negative,Olives are cured in brine and are extremely high in sodium.
pimento stuffed olive,very negative,Olives are cured in brine and are extremely high in sodium.
pimiento pepper,positive,A type of red pepper that is low in potassium.
pimiento stuffed green olive,very negative,Olives are cured in brine and are extremely high in sodium.
pimiento stuffed olive,very negative,Olives are cured in brine and are extremely high in sodium.
pina colada drink mix,negative,High in sugar and may contain phosphorus or potassium additives.
pine nut,negative,"High in phosphorus and potassium, and should be limited."
pineapple,neutral,
pineapple chunk,neutral,
pineapple juice,neutral,
pineapple preserve,neutral,
pineapple ring,neutral,
pineapple tidbit,neutral,
pink food coloring,neutral,
pink himalayan salt,neutral,
pinot noir wine,neutral,
pinto bean,neutral,
pisco,neutral,
pistachio,neutral,
pistachio nut,neutral,
pita bread,neutral,
pita bread round,neutral,
pita round,neutral,
pizza crust,neutral,
pizza dough,neutral,
pizza sauce,neutral,
plain low fat yogurt,neutral,
plain yogurt,neutral,
plantain,neutral,
plantain leaf,neutral,
plum,neutral,
plum preserve,neutral,
plum tomato,neutral,
poblano pepper,neutral,
poi,neutral,
polenta,neutral,
polish kielbasa,neutral,
polish sausage,neutral,
polskie ogorki,neutral,
pomegranate juice,neutral,
pomegranate molasses,neutral,
pomegranate seed,neutral,
pomegranate syrup,neutral,
poppy seed,neutral,
porcini mushroom,neutral,
pork,neutral,
pork back fat,neutral,
pork backfat,neutral,
pork belly,neutral,
pork breakfast chop,neutral,
pork butt,neutral,
pork butt roast,neutral,
pork chop,neutral,
pork cutlet,neutral,
pork loin,neutral,
pork loin chop,neutral,
pork loin roast,neutral,
pork roast,negative,"High in protein and phosphorus, which should be limited in a kidney-friendly diet."
pork sausage,very negative,"Very high in sodium, protein, and phosphorus additives, which are harmful to kidney function."
pork shank,negative,"High in protein and phosphorus, which should be limited in a kidney-friendly diet."
pork shoulder,negative,"High in protein and phosphorus, which should be limited in a kidney-friendly diet."
pork shoulder roast,negative,"High in protein and phosphorus, which should be limited in a kidney-friendly diet."
pork sirloin,negative,"High in protein and phosphorus, which should be limited in a kidney-friendly diet."
pork sirloin roast,negative,"High in protein and phosphorus, which should be limited in a kidney-friendly diet."
pork sparerib,negative,"High in protein and phosphorus, which should be limited in a kidney-friendly diet."
pork steak,negative,"High in protein and phosphorus, which should be limited in a kidney-friendly diet."
pork stew meat,negative,"High in protein and phosphorus, which should be limited in a kidney-friendly diet."
pork tenderloin,negative,"A leaner cut, but still high in protein and phosphorus which should be limited."
port wine,negative,"Alcohol can raise blood pressure and cause dehydration, stressing the kidneys."
port wine flavored gelatin mix,neutral,
portobello mushroom,negative,"High in potassium, which needs to be restricted in most kidney diets."
portobello mushroom cap,negative,"High in potassium, which needs to be restricted in most kidney diets."
portuguese chourico sausage,very negative,"Processed meat, extremely high in sodium, protein, and phosphorus additives."
portuguese hot pepper sauce,negative,Prepared sauces are typically very high in sodium.
portuguese linguica sausage,very negative,"Processed meat, extremely high in sodium, protein, and phosphorus additives."
portuguese sausage,very negative,"Processed meat, extremely high in sodium, protein, and phosphorus additives."
potato,very negative,"Very high in potassium, a mineral that must be strictly limited for kidney patients."
potato cooking water,very negative,Contains high levels of potassium that has leached from the potatoes during cooking.
potato flake,very negative,"A concentrated source of potato, making it very high in potassium."
potato flour,very negative,"A concentrated source of potato, making it very high in potassium."
potato starch,neutral,Used in small amounts as a thickener and is lower in potassium and phosphorus than other potato products.
poultry seasoning,negative,Seasoning blends are often very high in sodium (salt).
powdered milk,very negative,"A concentrated source of dairy, making it very high in both phosphorus and potassium."
prawn,negative,"High in protein and sodium, both of which should be limited."
processed american cheese,very negative,"Extremely high in sodium and phosphate additives, which are easily absorbed and very damaging to kidneys."
processed cheese sauce,very negative,"Extremely high in sodium and phosphate additives, which are easily absorbed and very damaging to kidneys."
provolone cheese,negative,"High in sodium, phosphorus, and protein."
prune,very negative,A dried fruit that is extremely high in potassium.
puff pastry,negative,"Typically high in sodium and phosphorus from salt, butter, and flour."
puff pastry sheet,negative,"Typically high in sodium and phosphorus from salt, butter, and flour."
pulled pork,negative,"High in protein and phosphorus, and often prepared with high-sodium sauces."
pumpkin,negative,A winter squash that is high in potassium.
pumpkin puree,negative,"A concentrated source of pumpkin, making it high in potassium."
purple daikon radish,positive,Radishes are low-potassium vegetables that are a good choice for a kidney-friendly diet.
purple food coloring,neutral,
purple onion,positive,Onions are a low-potassium vegetable that can add significant flavor without adding sodium.
purslane,negative,A green leafy vegetable that is moderately high in potassium.
quail egg,negative,"High in protein, and the yolk is a significant source of phosphorus."
quark,negative,"A dairy product high in protein, phosphorus, and potassium."
queijo coalho cheese curd,negative,"Cheese is high in sodium, phosphorus, and protein."
queso chanco,negative,"Cheese is high in sodium, phosphorus, and protein."
queso fresco,negative,"Cheese is high in sodium, phosphorus, and protein."
quick cooking oat,negative,"Oats are a whole grain, which are typically high in phosphorus and potassium."
quick rise yeast,neutral,
quince,negative,A fruit that is high in potassium.
quince paste,negative,"A concentrated fruit product, making it high in potassium."
quinoa,negative,A whole grain that is high in both phosphorus and potassium.
rabbit,positive,A source of lean protein that is generally lower in phosphorus compared to other meats.
radish,positive,"Low in potassium, phosphorus, and sodium, making it a kidney-friendly vegetable."
raisin,very negative,Dried fruit that is extremely high in potassium.
ramen noodle,very negative,The accompanying seasoning packet is extremely high in sodium. The noodles may also contain phosphate additives.
rapeseed oil,neutral,
raspberry,positive,A low-potassium fruit that is a good source of fiber and antioxidants.
raspberry flavored soda water,negative,May contain phosphoric acid (a phosphorus additive) or potassium-based preservatives. Check labels carefully.
raspberry jam,negative,High in sugar and contains a moderate amount of potassium.
recao,neutral,"An herb used in small quantities, which has a minimal impact on overall mineral intake."
recaito,negative,Store-bought versions are typically very high in sodium.
red bean curd,very negative,Fermented and brined product that is extremely high in sodium.
red bean paste,negative,"Made from red beans, which are high in potassium and phosphorus."
red bell pepper,positive,Low in potassium and an excellent source of vitamins A and C.
red cabbage,positive,A low-potassium vegetable rich in vitamins and antioxidants.
red candied cherry,negative,Very high in sugar and may contain artificial colors and preservatives.
red caviar,very negative,Extremely high in both sodium and phosphorus.
red chile,neutral,"Used in small amounts as a spice, it has minimal impact on overall mineral intake."
red chile flake,neutral,"Used in small amounts as a spice, it has minimal impact on overall mineral intake."
red chile paste,very negative,Typically very high in sodium.
red chile pepper,positive,Low in potassium and can be used to add flavor instead of salt.
red chile powder,neutral,"Used in small amounts as a spice, it has minimal impact on overall mineral intake."
red chile sauce,very negative,Typically very high in sodium.
red chili pepper,positive,Low in potassium and can be used to add flavor instead of salt.
red chili powder,neutral,"Used in small amounts as a spice, it has minimal impact on overall mineral intake."
red cooking wine,very negative,Extremely high in sodium.
red currant,neutral,Contains moderate potassium; acceptable in small portions.
red currant jam,negative,High in sugar and contains a moderate amount of potassium.
red curry paste,very negative,Typically very high in sodium.
red food color,neutral,
red food coloring,neutral,
red grape,positive,A low-potassium fruit that is a good source of antioxidants.
red kidney bean,very negative,Very high in both potassium and phosphorus.
red lentil,very negative,Very high in both potassium and phosphorus.
red miso,very negative,A fermented paste that is extremely high in sodium.
red onion,positive,Low in potassium and a good source of flavonoids like quercetin.
red pepper,positive,"Assuming red bell pepper, which is low in potassium and high in vitamins."
red pepper flake,neutral,"Used in small amounts as a spice, it has minimal impact on overall mineral intake."
red potato,very negative,All potatoes are very high in potassium.
red skinned potato,very negative,All potatoes are very high in potassium.
red snapper,negative,Fish is a good source of protein but is high in phosphorus and must be portion-controlled.
red table wine,negative,"Alcohol should be consumed in moderation, and wine contains potassium."
red thai curry paste,very negative,Typically very high in sodium.
red wine,negative,"Alcohol should be consumed in moderation, and wine contains potassium."
red wine vinegar,positive,"A good way to add flavor without salt; low in sodium, potassium, and phosphorus."
refrigerated pie crust,very negative,Often high in sodium and may contain phosphate additives for preservation and leavening.
rennet tablet,neutral,Used in very small amounts for cheesemaking and not consumed directly.
rhubarb,negative,"High in oxalates, which can form crystals and may be harmful to damaged kidneys."
rib eye steak,negative,"Red meat is high in phosphorus and protein, which must be limited and portion-controlled."
rice,positive,White rice is a good energy source that is low in potassium and phosphorus.
rice cereal,positive,"Basic, non-fortified rice cereals are typically low in sodium, potassium, and phosphorus."
rice flour,positive,"Low in potassium, phosphorus, and sodium; a good flour choice for a kidney-friendly diet."
rice noodle,positive,"Made from rice, these are low in potassium, phosphorus, and sodium."
rice paper wrapper,positive,"Low in sodium, potassium, and phosphorus."
rice soup,negative,Soups and broths are typically very high in sodium.
rice stick noodle,positive,"Made from rice, these are low in potassium, phosphorus, and sodium."
rice vermicelli,positive,"Made from rice, these are low in potassium, phosphorus, and sodium."
rice vermicelli noodle,positive,"Made from rice, these are low in potassium, phosphorus, and sodium."
rice vinegar,positive,A low-sodium way to add flavor to foods.
rice wine,negative,Alcohol should be limited as it can dehydrate and stress the kidneys.
rice wine vinegar,positive,A low-sodium way to add flavor to foods.
rice wrapper,positive,"Low in sodium, potassium, and phosphorus."
ricotta cheese,negative,Dairy products are a significant source of phosphorus and potassium.
rigatoni pasta,neutral,
ripe olive,very negative,"Olives are typically cured or brined, making them extremely high in sodium."
roast beef,very negative,Deli and processed meats are very high in sodium and often contain phosphate additives.
roasted red bell pepper,positive,Red bell peppers are an excellent low-potassium vegetable choice.
roasted red pepper,positive,Red bell peppers are an excellent low-potassium vegetable choice.
rock salt,very negative,"A form of pure sodium, which must be strictly limited."
rock sugar,neutral,
rolled oat,negative,Whole grains like oats are high in phosphorus and potassium.
roma plum tomato,negative,Tomatoes and tomato products are high in potassium.
roma tomato,negative,Tomatoes and tomato products are high in potassium.
romaine lettuce,positive,"A low-potassium leafy green, good for salads."
romaine lettuce leaf,positive,"A low-potassium leafy green, good for salads."
romano,very negative,"Aged, hard cheeses are very high in both sodium and phosphorus."
romano cheese,very negative,"Aged, hard cheeses are very high in both sodium and phosphorus."
rose extract,neutral,
rose petal,neutral,
rose petal powder,neutral,
rose water,neutral,
rosemary,positive,A salt-free herb that can be used to add flavor.
rotelle pasta,neutral,
rotini pasta,neutral,
round steak,negative,"Red meat is high in phosphorus and protein, which may need to be limited."
rum,negative,Alcohol should be limited as it can dehydrate and stress the kidneys.
rum cream liqueur,very negative,"Contains alcohol, sugar, and cream (dairy), which is high in phosphorus."
rum flavored extract,neutral,
rum flavoring,neutral,
rump roast,negative,"Red meat is high in phosphorus and protein, which may need to be limited."
russet potato,very negative,Potatoes are extremely high in potassium.
rutabaga,negative,A root vegetable that is a significant source of potassium.
rye flake,negative,Whole grains like rye are high in phosphorus and potassium.
rye flour,negative,Whole grain flour is high in phosphorus and potassium.
saffron,positive,A spice that adds flavor without adding sodium.
saffron powder,positive,A spice that adds flavor without adding sodium.
saffron thread,positive,A spice that adds flavor without adding sodium.
sage,positive,A salt-free herb that can be used to add flavor.
sake,negative,Alcoholic beverage (rice wine) that should be limited.
salam leaf,neutral,
salami,very negative,"A cured, processed meat that is extremely high in sodium and phosphate additives."
salmon,positive,A good source of high-quality protein and anti-inflammatory omega-3 fatty acids.
salmon fillet,positive,A good source of high-quality protein and anti-inflammatory omega-3 fatty acids.
salsa,negative,"Typically very high in sodium and contains tomatoes, which are high in potassium."
salt,very negative,"The primary source of sodium, which must be strictly limited to control blood pressure and fluid retention."
salt beef,very negative,"A processed, cured meat that is extremely high in sodium and often contains phosphorus additives."
salt pork,very negative,A cured meat that is extremely high in sodium and often contains phosphorus additives.
saltine cracker,negative,"A processed food, typically high in sodium and may contain phosphorus additives."
sambal oelek,negative,A chili paste that is typically very high in sodium.
sardine,negative,Often canned and high in both sodium and phosphorus.
sashimi grade tuna,positive,A good source of high-quality protein and omega-3 fatty acids; best consumed in moderation.
sauce,negative,"Most pre-made sauces are very high in sodium, and some may also be high in potassium or phosphorus."
sauerkraut,negative,Very high in sodium due to the fermentation and brining process.
sausage,very negative,A processed meat that is extremely high in sodium and phosphorus additives.
sausage casing,negative,"Part of a processed meat product, contributing to high sodium and phosphorus content."
savory,neutral,
savoy cabbage,positive,A low-potassium vegetable that is a good source of vitamins and fiber.
sazon seasoning,very negative,A seasoning blend that is typically extremely high in sodium.
scallion,positive,A low-potassium vegetable that can add flavor to dishes without adding salt.
scallop,positive,A good source of high-quality protein; should be eaten in moderation due to phosphorus content.
scotch bonnet chile,neutral,
scotch bonnet chile pepper,neutral,
scotch bonnet hot sauce,negative,Commercially prepared hot sauces are typically very high in sodium.
scotch bonnet pepper,neutral,
sea bass,positive,A good source of high-quality protein and omega-3 fatty acids.
sea bass fillet,positive,A good source of high-quality protein and omega-3 fatty acids.
sea salt,very negative,Contains the same amount of sodium as table salt and must be strictly limited.
sea scallop,positive,A good source of high-quality protein; should be eaten in moderation due to phosphorus content.
seafood seasoning,very negative,A seasoning blend that is typically extremely high in sodium.
seafood stock,negative,Commercially prepared stocks are typically very high in sodium.
seasoned rice vinegar,negative,Contains added salt and sugar; plain rice vinegar is a better choice.
seasoned salt,very negative,A salt-based seasoning blend that is extremely high in sodium.
seasoning salt,very negative,A salt-based seasoning blend that is extremely high in sodium.
self rising cornmeal,negative,Contains leavening agents which are high in phosphorus and/or sodium.
self rising flour,negative,Contains leavening agents which are high in phosphorus and/or sodium.
seltzer water,neutral,
semi sweet chocolate chip,negative,Chocolate is a source of potassium and phosphorus and should be limited.
semisweet baking chocolate,negative,Chocolate is a source of potassium and phosphorus and should be limited.
semisweet chocolate,negative,Chocolate is a source of potassium and phosphorus and should be limited.
semisweet chocolate bar,negative,Chocolate is a source of potassium and phosphorus and should be limited.
semisweet chocolate chip,negative,Chocolate is a source of potassium and phosphorus and should be limited.
semolina,neutral,
semolina flour,neutral,
serrano,neutral,
serrano chile,neutral,
serrano chile pepper,neutral,
serrano ham,very negative,A cured meat that is extremely high in sodium.
serrano pepper,neutral,
sesame oil,neutral,
sesame seed,negative,High in phosphorus and should be limited.
sesame seed hamburger bun,negative,"Processed bread often contains sodium and phosphorus additives, and sesame seeds add more phosphorus."
seville orange marmalade,negative,"High in sugar and contains oranges, which are high in potassium."
shallot,neutral,
shaoxing rice wine,negative,"Contains sodium and alcohol, which can be detrimental to kidney health."
sheeps milk feta cheese,very negative,Very high in sodium and phosphorus.
sherry,negative,"Alcohol can dehydrate and raise blood pressure, stressing the kidneys."
sherry vinegar,positive,"Low in sodium, potassium, and phosphorus; can be used as a salt substitute for flavor."
sherry wine,negative,"Alcohol can dehydrate and raise blood pressure, stressing the kidneys."
shichimi togarashi,neutral,
shiitake mushroom,negative,High in potassium.
shoestring potato stick,very negative,Very high in sodium and potassium.
short grain brown rice,negative,Higher in potassium and phosphorus compared to white rice.
short grain rice,neutral,
short grain white rice,positive,"Lower in potassium and phosphorus than brown rice, making it a safer grain choice."
shortening,neutral,
shrimp,negative,High in phosphorus and often prepared with high amounts of sodium.
shrimp paste,very negative,Extremely high in sodium.
sichuan pepper,neutral,
silken tofu,positive,"A good source of plant-based protein, generally lower in phosphorus than meat."
silver tequila,negative,"Alcohol can dehydrate and raise blood pressure, stressing the kidneys."
simple syrup,negative,"High in sugar, which is detrimental to overall health and can worsen conditions like diabetes, a leading cause of kidney disease."
sirloin,negative,"High in protein and phosphorus, which need to be limited in a kidney-friendly diet."
sirloin steak,negative,"High in protein and phosphorus, which need to be limited in a kidney-friendly diet."
sirloin tip,negative,"High in protein and phosphorus, which need to be limited in a kidney-friendly diet."
skewer,neutral,
skinless chicken breast,positive,A lean source of high-quality protein; portions should be managed to control protein and phosphorus intake.
skirt steak,negative,"High in protein and phosphorus, which need to be limited in a kidney-friendly diet."
small shrimp,negative,High in phosphorus and often prepared with high amounts of sodium.
small white bean,very negative,Very high in potassium and phosphorus.
smelt,negative,"A source of protein and phosphorus, which need to be limited."
smoked ham,very negative,Extremely high in sodium and often contains phosphate additives.
smoked ham hock,very negative,Extremely high in sodium and often contains phosphate additives.
smoked paprika,neutral,
smoked pork chop,very negative,Extremely high in sodium and often contains phosphate additives.
smoked salmon,very negative,Very high in sodium due to the curing and smoking process.
smoked sausage,very negative,Extremely high in sodium and often contains phosphate additives.
smoked tempeh bacon,negative,"High in sodium, potassium, and phosphorus."
snap pea,positive,"A good source of vitamins and fiber; low in sodium and moderate in potassium, suitable in appropriate portions."
snow pea,positive,"A good source of vitamins and fiber; low in sodium and moderate in potassium, suitable in appropriate portions."
snow pea pod,positive,"A good source of vitamins and fiber; low in sodium and moderate in potassium, suitable in appropriate portions."
soba noodle,negative,"Made from buckwheat, which is higher in potassium and phosphorus than refined grains."
soaked in cold water,neutral,
soaked in water,neutral,
sofrito,negative,Typically contains tomatoes (high potassium) and commercial versions are very high in sodium.
sofrito sauce,negative,Typically contains tomatoes (high potassium) and commercial versions are very high in sodium.
soft brown sugar,negative,High in sugar; brown sugar also contains more potassium than white sugar.
solid white tuna,negative,High in protein and phosphorus; canned versions are typically very high in sodium.
sour cherry,positive,"A lower-potassium fruit choice, rich in antioxidants."
sour cherry preserve,negative,Preserves are very high in added sugar.
sour cream,negative,High in phosphorus and potassium.
sour manioc starch,positive,"A refined starch that is low in protein, potassium, and phosphorus."
soy based liquid seasoning,very negative,"Extremely high in sodium, which is harmful for blood pressure and fluid balance in kidney disease."
soy milk,neutral,
soy sauce,very negative,"Extremely high in sodium, which must be severely restricted in a kidney-friendly diet."
soy sauce flavored ramen noodle,very negative,The flavor packet is exceptionally high in sodium and often contains phosphate additives.
soybean sprout,positive,"Low in sodium, potassium, and phosphorus, making it a kidney-friendly vegetable."
spaghetti,neutral,
spanish chorizo,very negative,"A processed, cured meat that is very high in sodium, protein, and often phosphorus additives."
spanish chorizo sausage,very negative,"A processed, cured meat that is very high in sodium, protein, and often phosphorus additives."
spanish chorizo sausage link,very negative,"A processed, cured meat that is very high in sodium, protein, and often phosphorus additives."
spanish octopus,negative,"High in protein and phosphorus, which often need to be limited."
spanish olive,very negative,"Cured in brine, making them extremely high in sodium."
spanish onion,positive,"Low in sodium, potassium, and phosphorus; excellent for adding flavor to food without salt."
spanish peanut,negative,Nuts are typically high in potassium and phosphorus.
spanish serrano ham,very negative,A cured meat that is extremely high in sodium.
spanish smoked paprika,positive,A spice that adds flavor without adding sodium.
spanish style chorizo,very negative,"A processed, cured meat that is very high in sodium, protein, and often phosphorus additives."
spanish style olive,very negative,"Cured in brine, making them extremely high in sodium."
spanish yellow rice mix,very negative,Packaged mixes are typically very high in sodium and may contain phosphate additives.
sparkling mineral water,negative,"Can be high in sodium or other minerals like potassium, which may need to be restricted."
sparkling water,neutral,
spelt flour,negative,"As a whole grain, it is higher in potassium and phosphorus than refined white flour."
spicy brown mustard,negative,"Generally high in sodium and should be used sparingly, if at all."
spinach,negative,"Very high in potassium, which needs to be limited in most kidney diets."
split pea,negative,High in both potassium and phosphorus.
sponge cake,negative,High in sugar and may contain phosphorus from leavening agents.
spray,neutral,
spring garlic,positive,Excellent for adding flavor without sodium.
spring onion,positive,A good way to add flavor without salt. Use in moderation as it contains some potassium.
spring roll wrapper,neutral,
spring water,neutral,
sprinkle,negative,Primarily sugar and may contain phosphate-based additives.
squid,negative,"High in protein and phosphorus, which often need to be limited."
sriracha hot sauce,very negative,Very high in sodium.
sriracha sauce,very negative,Very high in sodium.
star anise,positive,A spice that adds flavor without adding sodium.
star anise pod,positive,A spice that adds flavor without adding sodium.
steelhead trout fillet,negative,High in phosphorus and potassium; protein must be consumed in appropriate portions.
stewed tomato,very negative,"Tomatoes are very high in potassium, and canned versions often have high added sodium."
straw mushroom,negative,Mushrooms are a source of potassium; canned versions can have added sodium.
strawberry,positive,A kidney-friendly fruit that is low in potassium and phosphorus and high in antioxidants.
strawberry flavored syrup,very negative,Very high in sugar and may contain phosphate additives.
strawberry jam,negative,"High in sugar, which should be limited."
string,neutral,Inedible.
sucralose sweetener,neutral,
sugar,negative,"Should be limited, especially for those with diabetes, a leading cause of kidney disease."
sugar based curing mixture,very negative,Contains high amounts of sugar and sodium used for curing meats.
sugar crystal,negative,"Pure sugar, which should be limited to manage blood sugar and inflammation."
sugar snap pea,positive,A low-potassium vegetable that is a good source of fiber.
sultana raisin,negative,Dried fruits are a concentrated source of potassium and sugar.
sumac,positive,A spice with a tart flavor that is an excellent substitute for salt.
sumac powder,neutral,
sun dried tomato,very negative,"Extremely high in potassium, which is often restricted in kidney disease."
sunflower oil,neutral,
sunflower seed kernel,negative,"High in both phosphorus and potassium, which need to be limited in a kidney-friendly diet."
sunflower seed oil,neutral,
superfine sugar,negative,"High sugar intake can contribute to diabetes and obesity, major risk factors for kidney disease."
sushi rice,neutral,"White rice is lower in potassium and phosphorus than whole grains, making it a safer choice for many kidney patients."
swanson chicken broth,very negative,Commercially prepared broths are typically extremely high in sodium.
swedish anchovy,very negative,Cured fish like anchovies are extremely high in sodium.
