title,original_ingredients,standardized_ingredients
Paneer,"milk, buttermilk, canola oil","milk, buttermilk, canola oil"
Tandoori Chicken,"chicken, lemon, salt, yogurt, onion, garlic, garam masala, ginger, cayenne pepper, red food coloring, yellow food coloring, cilantro, lemon","chicken, lemon, salt, greek yogurt, onion, garlic, garam masala, ginger, cayenne pepper, red food coloring, yellow food coloring, cilantro, lemon"
Lancaster Lefsa (Old World Recipe),"potatoes, shortening, half-and-half, all-purpose flour, salt, sugar","potato, shortening, half and half, all purpose flour, salt, sugar"
Canary Island Red Mojo Sauce,"red bell peppers, garlic, paprika, cilantro, olive oil, chile pepper, bread","red bell pepper, garlic, paprika, cilantro, olive oil, chile pepper, bread"
Mahi Sorkh Shodeh (Persian Fried Fish),"saffron, water, all-purpose flour, kosher salt, turmeric, black pepper, onion powder, garlic powder, cod fillets, grapeseed oil, orange, orange, lime","saffron, water, all purpose flour, kosher salt, turmeric, black pepper, onion powder, garlic powder, cod fillet, grapeseed oil, orange, orange, lime"
Vietnamese Egg Coffee,"egg yolk, sweetened condensed milk, coffee","egg yolk, sweetened condensed milk, coffee"
Maria&#39;s Paella,"olive oil, chicken thighs, onion, garlic, calamari rings, shrimp, green bell pepper, red bell pepper, water, long grain rice, tomatoes, peas, saffron, salt, clams, shrimp, sea scallops, lemon","olive oil, chicken thigh, onion, garlic, calamari ring, shrimp, green bell pepper, red bell pepper, water, long grain rice, tomato, pea, saffron, salt, clam, shrimp, sea scallop, lemon"
Nova Scotian Hodge Podge,"green beans, wax beans, carrot, turnip, water, salt, new potatoes, heavy cream, butter, water, all-purpose flour","green bean, wax bean, carrot, turnip, water, salt, new potato, heavy whipping cream, butter, water, all purpose flour"
Chap Chee Noodles,"soy sauce, sesame oil, green onions, garlic, sesame seeds, Sugar, black pepper, beef top sirloin, vegetable oil, carrots, bamboo shoots, napa cabbage, spinach, cellophane noodles, soy sauce, sugar, salt, black pepper","soy sauce, sesame oil, green onion, garlic, black sesame seed, sugar, black pepper, beef top sirloin, vegetable oil, carrot, bamboo shoot, napa cabbage, spinach, cellophane noodle, soy sauce, sugar, salt, black pepper"
Swedish Klimp,"egg, milk, salt, sugar, all-purpose flour","egg, milk, salt, sugar, all purpose flour"
Easy Lamb Gyros,"spray, lamb, Greek seasoning, egg, pita breads, iceberg lettuce, Roma tomatoes, red onion, tzatziki sauce","cooking spray, lamb, greek seasoning, egg, pita bread, iceberg lettuce, roma tomato, red onion, tzatziki sauce"
Knefla Soup,"potatoes, onions, carrot, celery, chicken bouillon, parsley, water, salt, black pepper, margarine, all-purpose flour, egg, salt, milk, evaporated milk","potato, onion, carrot, celery, chicken bouillon, parsley, water, salt, black pepper, margarine, all purpose flour, egg, salt, milk, evaporated milk"
Mexican Vegetarian Stuffed Peppers,"salt, green bell peppers, olive oil, onion, rice, black beans, diced tomatoes, chili powder, garlic salt, cumin, salt, Mexican cheese blend","salt, green bell pepper, olive oil, onion, rice, black bean, diced tomato, chili powder, garlic salt, cumin, salt, mexican cheese blend"
Dolmas (Stuffed Grape Leaves),"olive oil, onions, white rice, water, tomato paste, currants, pine nuts, cinnamon, mint, dill weed, allspice, cumin, grape leaves","olive oil, onion, white rice, water, tomato paste, currant, pine nut, cinnamon, mint, dill weed, allspice, cumin, grape leaf"
Anise Sugar Cookies,"all-purpose flour, anise seeds, baking powder, fennel seeds, baking soda, corn oil, sugar, eggs, vinegar, sesame seeds","all purpose flour, anise seed, baking powder, fennel seed, baking soda, corn oil, sugar, egg, vinegar, sesame seed"
Jerk Chicken Wings,"onion, habanero peppers, green onions, lime juice, soy sauce, garlic, thyme leaves, brown sugar, vegetable oil, kosher salt, black pepper, allspice, thyme, cinnamon, cumin, nutmeg, chicken wing drumettes, spray","onion, habanero pepper, green onion, lime juice, soy sauce, garlic, thyme leaf, brown sugar, vegetable oil, kosher salt, black pepper, allspice, thyme, cinnamon, cumin, nutmeg, chicken wing drumette, cooking spray"
Easy Russian Mushroom Bake,"vegetable oil, button mushrooms, sour cream, onion, Gouda cheese","vegetable oil, button mushroom, sour cream, onion, gouda cheese"
Karaage (Japanese Fried Chicken) with Honey Mayoster Sauce,"low-sodium soy sauce, honey, garlic, ginger, chicken thighs, egg, panko bread crumbs, frying, Japanese mayonnaise, mirin, honey, Dijon mustard, low-sodium soy sauce","low sodium soy sauce, honey, garlic, ginger, chicken thigh, egg, panko bread crumb, frying, japanese mayonnaise, mirin, honey, dijon mustard, low sodium soy sauce"
Portuguese Burnt Sugar Candy,"sugar, water, apple cider vinegar","sugar, water, apple cider vinegar"
Chicken Curry V,"olive oil, cinnamon stick, cardamom pod, star anise pod, cloves, curry leaves, shallots, garlic, ginger root, curry paste, coconut milk, water, chicken breast, tamarind juice, salt","olive oil, cinnamon stick, cardamom pod, star anise pod, clove, curry leaf, shallot, garlic, ginger root, curry paste, coconut milk, water, chicken breast, tamarind juice, salt"
Jerk Chicken and Pasta,"chicken breast halves, jerk paste, egg noodles, olive oil, garlic, chicken stock, white wine, cilantro, jerk paste, salt and pepper, lime, heavy whipping cream, cilantro","chicken breast half, jerk paste, egg noodle, olive oil, garlic, chicken stock, white wine, cilantro, jerk paste, salt, lime, heavy whipping cream, cilantro"
Brazilian Collard Greens (Couve a Mineira),"collard greens, olive oil, bacon, onion, sea salt, garlic","collard green, olive oil, bacon, onion, sea salt, garlic"
Famous Chicken Adobo,"vegetable oil, chicken, onion, garlic, low sodium soy sauce, white vinegar, garlic powder, black pepper, bay leaf","vegetable oil, chicken, onion, garlic, low sodium soy sauce, white vinegar, garlic powder, black pepper, bay leaf"
Tuscan Pork Tenderloin,"garlic, rosemary, oregano, salt, black pepper, pork tenderloin","garlic, rosemary, oregano, salt, black pepper, pork tenderloin"
Swiss Almond Carrot Cake (Aargauer Rueblitorte),"butter, eggs, sugar, carrots, almonds, lemon, all-purpose flour, baking powder, salt, marzipan, green gel food coloring, orange gel food coloring, confectioners' sugar, lemon juice","butter, egg, sugar, carrot, almond, lemon, all purpose flour, baking powder, salt, marzipan, green gel food coloring, orange gel food coloring, confectioners sugar, lemon juice"
Portuguese Egg Tarts,"spray, pie crust mix, butter, water, egg yolks, white sugar, heavy cream, milk, vanilla extract","cooking spray, pie crust mix, butter, water, egg yolk, white sugar, heavy cream, milk, vanilla extract"
Bialys,"bread flour, instant yeast, kosher salt, water, olive oil, yellow onion, kosher salt, bread crumbs, poppy seeds, green onion, cayenne pepper","bread flour, instant yeast, kosher salt, water, olive oil, yellow onion, kosher salt, bread crumb, poppy seed, green onion, cayenne pepper"
Rosenmunnar,"butter, sugar, all-purpose flour, fruit jam","butter, sugar, all purpose flour, fruit jam"
Lebanese 7 Spices,"nutmeg, ginger, allspice, fenugreek seeds, black pepper, cloves, cinnamon","nutmeg, ginger, allspice, fenugreek seed, black pepper, clove, cinnamon"
Kalbi (Korean BBQ Short Ribs),"soy sauce, brown sugar, water, onions, garlic clove, sesame oil, Korean-style short ribs","soy sauce, brown sugar, water, onion, garlic clove, sesame oil, korean style short rib"
Pâte Sucrée,"egg yolks, heavy whipping cream, vanilla extract, all-purpose flour, granulated sugar, kosher salt, unsalted butter","egg yolk, heavy whipping cream, vanilla extract, all purpose flour, granulated sugar, kosher salt, unsalted butter"
Guava Cuban Pastry (Pastelito de Guayaba),"puff pastry, guava paste, egg, sugar","puff pastry, guava paste, egg, sugar"
Grilled Spatchcocked Greek Chicken,"olive oil, lemon juice, oregano, garlic, rosemary, tarragon, chicken","olive oil, lemon juice, oregano, garlic, rosemary, tarragon, chicken"
Sfouf (Lebanese Turmeric Cake),"tahini, water, anise seeds, white sugar, all-purpose flour, turmeric, baking powder, anise seed powder, vegetable oil, unsalted butter, pine nuts","tahini, water, anise seed, white sugar, all purpose flour, turmeric, baking powder, anise seed powder, vegetable oil, unsalted butter, pine nut"
Sweet Polish Sausage,"kielbasa sausage, onion, water, brown sugar, Worcestershire sauce, lemon juice, hot pepper sauce","kielbasa sausage, onion, water, brown sugar, worcestershire sauce, lemon juice, hot pepper sauce"
Yellow Rice with Vegetables,"vegetable oil, onion, carrot, broccoli, red bell pepper, garlic, vegetable broth, rice, sazon seasoning, adobo seasoning","vegetable oil, onion, carrot, broccoli, red bell pepper, garlic, vegetable broth, rice, sazon seasoning, adobo seasoning"
Basque Cake,"milk, white sugar, white sugar, all-purpose flour, eggs, vanilla extract, all-purpose flour, baking powder, white sugar, eggs","milk, white sugar, white sugar, all purpose flour, egg, vanilla extract, all purpose flour, baking powder, white sugar, egg"
Souvlaki,"olive oil, soy sauce, lemon, garlic, oregano, pork tenderloin, yellow onions, green bell peppers, skewers","olive oil, soy sauce, lemon, garlic, oregano, pork tenderloin, yellow onion, green bell pepper, skewer"
Thai Green Curry Chicken,"dark soy sauce, all-purpose flour, chicken breast, cooking oil, green curry paste, onions, garlic, ginger, coconut milk, white sugar, fish sauce, dark soy sauce, cilantro leaves","dark soy sauce, all purpose flour, chicken breast, cooking oil, green curry paste, onion, garlic, ginger, coconut milk, white sugar, fish sauce, dark soy sauce, cilantro leaf"
Jamaican Fried Snapper,"red snapper, vegetable oil, vegetable oil, white onion, carrot, garlic, white vinegar, water, salt, habanero pepper, thyme, allspice berry, brown sugar","red snapper, vegetable oil, vegetable oil, white onion, carrot, garlic, white vinegar, water, salt, habanero pepper, thyme, allspice berry, brown sugar"
"Brown Rice, Chicken, and Chorizo Paella","salt, Spanish smoked paprika, red pepper, turmeric, saffron, olive oil, chicken thighs, Spanish chorizo, onion, red bell pepper, parsley, garlic, short-grain brown rice, tomato, roasted red peppers, chicken broth, peas and carrots, black olives, capers, apple cider vinegar","salt, spanish smoked paprika, red pepper, turmeric, saffron, olive oil, chicken thigh, spanish chorizo, onion, red bell pepper, parsley, garlic, short grain brown rice, tomato, roasted red pepper, chicken broth, pea, carrot, black olive, caper, apple cider vinegar"
Sangria! Sangria!,"dry red wine, brandy, triple sec, lemonade concentrate, orange juice, lemon juice, sugar, orange, lemon, lime, maraschino cherries, carbonated water","dry red wine, brandy, triple sec, lemonade concentrate, orange juice, lemon juice, sugar, orange, lemon, lime, candied cherry, carbonated water"
Homemade Sushi,"water, short-grain white rice, rice vinegar, sugar, salt, nori seaweed, imitation crabmeat, avocado, cucumber, ginger","water, short grain white rice, rice vinegar, sugar, salt, nori seaweed, imitation crab meat, avocado, cucumber, ginger"
Sweet Cornmeal Cake Brazilian-Style,"cornmeal, white sugar, milk, coconut milk, all-purpose flour, eggs, vegetable oil, baking powder","cornmeal, sugar, milk, coconut milk, all purpose flour, egg, vegetable oil, baking powder"
Lamb Börek,"olive oil, onion, salt, lamb, garlic, currants, pine nuts, cumin, coriander, cinnamon, paprika, black pepper, cayenne pepper, allspice, tomato sauce, water, egg, full-fat plain Greek yogurt, water, butter, phyllo dough, sesame seeds, Greek yogurt, mint leaves, lemon juice, garlic, water, salt, cayenne pepper","olive oil, onion, salt, lamb, garlic, currant, pine nut, cumin, coriander, cinnamon, paprika, black pepper, cayenne pepper, allspice, tomato sauce, water, egg, full fat plain greek yogurt, butter, phyllo dough, sesame seed, greek yogurt, mint leaf, lemon juice"
Yabluchnyk (Ukrainian Apple Cake),"all-purpose flour, sugar, baking powder, salt, unsalted butter, cream, egg, apples, brown sugar, flour, cinnamon, unsalted butter","all purpose flour, sugar, baking powder, salt, unsalted butter, cream, egg, apple, brown sugar, flour, cinnamon"
Pollo (Chicken) Fricassee from Puerto Rico,"chicken drumsticks, adobo seasoning, sazon seasoning, salt, potatoes, onion, red bell pepper, green bell pepper, cilantro, red wine, olive oil, garlic, cumin, oregano, bay leaves","chicken drumstick, adobo seasoning, sazon seasoning, salt, potato, onion, red bell pepper, green bell pepper, cilantro, red wine, olive oil, garlic, cumin, oregano, bay leaf"
Swedish Chocolate Balls (Chokladbollar),"rolled oats, sugar, cocoa powder, kosher salt, cayenne pepper, butter, coconut oil, vanilla extract, coffee, coconut","rolled oat, sugar, cocoa powder, salt, cayenne pepper, butter, coconut oil, vanilla extract, coffee, coconut"
Chicken Ropa Vieja,"chicken breast, onion, tomato, carrot, garlic, olive oil, onion, green bell pepper, red bell pepper, garlic, tomato puree, white wine, cumin, salt and pepper","chicken breast, onion, tomato, carrot, garlic, olive oil, green bell pepper, red bell pepper, tomato puree, white wine, cumin, salt, black pepper"
Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang),"water, short-grain white rice, coconut milk, sugar, salt, sugar, tapioca starch, mangos, sesame seeds","water, short grain white rice, coconut milk, sugar, salt, tapioca starch, mango, sesame seed"
Blini - Russian Pancakes,"eggs, sugar, salt, milk, flour, vegetable oil, vegetable oil","egg, sugar, salt, milk, flour, vegetable oil"
Peruvian Locro (Butternut Squash),"butternut squash, cover, salt, evaporated milk, butter, corn, sweet peas, Cheddar cheese, basmati rice","butternut squash, salt, evaporated milk, butter, corn, sweet pea, cheddar cheese, basmati rice"
Tortilla Española,"olive oil, potatoes, salt and pepper, smoked paprika, sweet Spanish onion, eggs, olive oil, parsley, olive oil","olive oil, potato, salt, black pepper, smoked paprika, sweet spanish onion, egg, parsley"
Turkish Red Lentil Soup with Mint,"olive oil, onion, garlic, tomatoes, chicken stock, red lentils, bulgur, rice, tomato paste, mint, paprika, cayenne pepper","olive oil, onion, garlic, tomato, chicken stock, red lentil, bulgur, rice, tomato paste, mint, paprika, cayenne pepper"
Booyah Chicken,"chicken, beef stew meat, pork shoulder roast, water, chicken broth, garlic, bay leaves, cover, vegetable oil, onion, carrots, celery, garlic, potatoes, green beans, tomatoes, salt, rosemary, black pepper, thyme, green peas, lemon zest, red pepper, parsley","chicken, beef stew meat, pork shoulder roast, water, chicken broth, garlic, bay leaf, vegetable oil, onion, carrot, celery, potato, green bean, tomato, salt, rosemary, black pepper, thyme, green pea, lemon zest, red pepper, parsley"
Pogaca (Feta Dumplings),"all-purpose flour, baking powder, canola oil, butter, yogurt, eggs, sour cream, sugar, salt, feta cheese, parsley, olive oil, paprika, egg yolks, sesame seeds","all purpose flour, baking powder, canola oil, butter, yogurt, egg, sour cream, sugar, salt, feta cheese, parsley, olive oil, paprika, egg yolk, sesame seed"
Lomo Saltado (Peruvian Steak Stir-Fry),"top sirloin steak, soy sauce, sugar, olive oil, French fries, red onion, orange bell pepper, habanero pepper, green onion, kosher salt, garlic, ginger root, roma (plum) tomato, white vinegar, cilantro","top sirloin steak, soy sauce, sugar, olive oil, french fry, red onion, orange bell pepper, habanero pepper, green onion, salt, garlic, ginger root, roma tomato, white vinegar, cilantro"
Iskender Kebab,"pita bread rounds, olive oil, chicken breast halves, onion, garlic, tomato puree, ground cumin, salt, black pepper, butter, Greek yogurt, parsley","pita round, olive oil, chicken breast half, onion, garlic, tomato puree, cumin, salt, black pepper, butter, greek yogurt, parsley"
Hot Tamale Pie,"spray, beef, poblano peppers, salsa, salt, chipotle pepper, oregano, dry corn muffin mix, eggs, milk, corn, Cheddar cheese, Monterey Jack cheese","cooking spray, beef, poblano pepper, salsa, salt, chipotle pepper, oregano, dry corn muffin mix, egg, milk, corn, cheddar cheese, monterey jack cheese"
Crispy Shrimp Tempura,"vegetable oil, all-purpose flour, cornstarch, salt, water, egg yolk, egg whites, shrimp","vegetable oil, all purpose flour, cornstarch, salt, water, egg yolk, egg white, shrimp"
Russian Beet Salad with Herring,"russet potatoes, carrots, beets, onion, herring fillets, mayonnaise","russet potato, carrot, beet, onion, herring fillet, mayonnaise"
Fried Sweet Bananas,"bananas, sugar, cinnamon, butter","banana, sugar, cinnamon, butter"
Chicken Tikka Masala,"yogurt, lemon juice, cumin, cinnamon, cayenne pepper, black pepper, ginger, salt, chicken breasts, skewers, butter, garlic, jalapeno pepper, paprika, tomato sauce, heavy cream, cilantro","yogurt, lemon juice, cumin, cinnamon, cayenne pepper, black pepper, ginger, salt, chicken breast, skewer, butter, garlic, jalapeno pepper, paprika, tomato sauce, heavy cream, cilantro"
Real French Crêpes,"milk, all-purpose flour, egg, spray","milk, all purpose flour, egg, cooking spray"
Brazo Gitano de Guayaba (Jelly Roll with Guava),"eggs, sugar, water, lime zest, vanilla extract, self-rising flour, sugar, guava paste","egg, sugar, water, lime zest, vanilla extract, self rising flour, guava paste"
Maria&#39;s Portuguese Bacalau,"cod fish, olive oil, parsley, garlic, red pepper flakes, pepper, Yukon Gold potatoes, butter, onions, green olives, black olives, eggs","cod fish, olive oil, parsley, garlic, red pepper flake, black pepper, yukon gold potato, butter, onion, green olive, black olive, egg"
Puerto Rican Shepherd Pie (Pastelon),"onion, green bell pepper, parsley, cilantro, culantro, garlic, water, beef, sazon seasoning, black pepper, adobo seasoning, olive oil, plantains, eggs, green beans, eggs","onion, green bell pepper, parsley, cilantro, culantro, garlic, water, beef, sazon seasoning, black pepper, adobo seasoning, olive oil, plantain, egg, green bean"
Vietnamese Beef And Lettuce Curry,"long grain white rice, water, sugar, garlic, fish sauce, water, chile sauce, lemon, vegetable oil, garlic, beef, cumin, diced tomatoes, lettuce leaves","long grain white rice, water, sugar, garlic, fish sauce, chile sauce, lemon, vegetable oil, beef, cumin, diced tomato, lettuce leaf"
Chana Masala (Indian Chickpea Curry),"onion, tomato, ginger, garlic, green chile pepper, olive oil, bay leaves, chili powder, coriander powder, garam masala, turmeric, salt, water, chickpeas, cilantro leaves","onion, tomato, ginger, garlic, green chile pepper, olive oil, bay leaf, chili powder, coriander powder, garam masala, turmeric, salt, water, chickpea, cilantro leaf"
Anzac Biscuits III,"quick cooking oats, all-purpose flour, coconut, brown sugar, ginger, baking soda, water, butter, golden syrup","quick cooking oat, all purpose flour, coconut, brown sugar, ginger, baking soda, water, butter, golden syrup"
Pasanday (Pakistani Beef Pot Roast),"yogurt, salt, red pepper flakes, ginger garlic paste, black cumin, cloves, turmeric, round steak, vegetable oil, onion, lemon juice, cilantro, green chilies","yogurt, salt, red pepper flake, ginger garlic paste, black cumin, clove, turmeric, round steak, vegetable oil, onion, lemon juice, cilantro, green chile"
Zucchini with Dill Weed and Garlic-Yogurt Sauce,"olive oil, onion, sugar, zucchini, dill weed, long grain white rice, water, salt and pepper, plain yogurt, garlic","olive oil, onion, sugar, zucchini, dill weed, long grain white rice, water, salt, black pepper, plain yogurt, garlic"
Whole Rice and Lentils (Majadara),"olive oil, onion, garlic, ginger root, brown rice, green lentils, cumin, salt, black pepper, cinnamon, water","olive oil, onion, garlic, ginger root, brown rice, green lentil, cumin, salt, black pepper, cinnamon, water"
Easy and Quick Halushki,"bacon, onion, egg noodles, cabbage","bacon, onion, egg noodle, cabbage"
Pho (Vietnamese Noodle Soup),"beef soup bones, onion, ginger, salt, star anise, fish sauce, water, rice noodles, beef top sirloin, cilantro, green onion, bean sprouts, Thai basil, lime, hoisin sauce, chile-garlic sauce","beef soup bone, onion, ginger, salt, star anise, fish sauce, water, rice noodle, beef top sirloin, cilantro, green onion, bean sprout, thai basil, lime, hoisin sauce, chile garlic sauce"
Vegetarian Pho (Vietnamese Noodle Soup),"vegetable stock, onion, soy sauce, garlic, cinnamon sticks, ginger, star anise, bay leaves, thin rice noodles, vegetable oil, tofu, enoki mushrooms, scallions, cilantro, lime, jalapeno peppers, mung bean sprouts, Thai basil","vegetable stock, onion, soy sauce, garlic, cinnamon stick, ginger, star anise, bay leaf, thin rice noodle, vegetable oil, tofu, enoki mushroom, scallion, cilantro, lime, jalapeno pepper, mung bean sprout, thai basil"
Pepperoni Casserole,"rotini pasta, Italian sausage, pasta sauce, cottage cheese, black olives, mozzarella cheese, pepperoni","rotini pasta, italian sausage, pasta sauce, cottage cheese, black olive, mozzarella cheese, pepperoni"
Vietnamese Golden Chicken Wings,"chicken wings, garlic, onion, soy sauce, Asian fish sauce, lemon juice, sesame oil, salt, black pepper, garlic powder, sugar","chicken wing, garlic, onion, soy sauce, asian fish sauce, lemon juice, sesame oil, salt, black pepper, garlic powder, sugar"
Calimocho (Kalimotxo),"cola-flavored carbonated beverage, red wine","cola flavored carbonated beverage, red wine"
Vegan Borscht,"olive oil, garlic, onion, olive oil, celery, carrots, green bell pepper, beets, tomatoes, tomatoes, potatoes, Swiss chard, vegetable broth, water, dill weed, silken tofu","olive oil, garlic, onion, celery, carrot, green bell pepper, beet, tomato, potato, swiss chard, vegetable broth, water, dill weed, silken tofu"
Frozen Lemon Pavlova,"cornstarch, egg whites, white sugar, cinnamon, sugar, almonds, egg whites, salt, sugar, lemon juice, lemon zest, heavy cream, lemon, mint, strawberries","cornstarch, egg white, white sugar, cinnamon, sugar, almond, salt, lemon juice, lemon zest, heavy cream, lemon, mint, strawberry"
Traditional Filipino Lumpia,"vegetable oil, pork, onion, garlic, carrots, green onions, green cabbage, cilantro, black pepper, salt, garlic powder, soy sauce, lumpia wrappers, vegetable oil","vegetable oil, pork, onion, garlic, carrot, green onion, green cabbage, cilantro, black pepper, salt, garlic powder, soy sauce, lumpia wrapper"
Quark (Homemade Cheese),"milk, buttermilk","milk, buttermilk"
Slow Cooker Chicken Massaman Curry,"olive oil, chicken thighs, potatoes, carrots, bell peppers, onions, Thai red curry paste, ginger paste, lemongrass paste, coconut milk, chicken stock, peanut butter, lemon juice, fish sauce, brown sugar, peanuts, jasmine rice","olive oil, chicken thigh, potato, carrot, bell pepper, onion, thai red curry paste, ginger paste, lemongrass paste, coconut milk, chicken stock, peanut butter, lemon juice, fish sauce, brown sugar, peanut, jasmine rice"
Flavorful Persian Braised Lamb Shanks,"lamb shanks, olive oil, salt, turmeric, cinnamon, cardamom, black pepper, cumin, nutmeg, onion, garlic, water, limes, rosewater, saffron, red wine, parsley, thyme, lime zest, bay leaves, chicken broth","lamb shank, olive oil, salt, turmeric, cinnamon, cardamom, black pepper, cumin, nutmeg, onion, garlic, water, lime, rose water, saffron, red wine, parsley, thyme, lime zest, bay leaf, chicken broth"
Garlic Rice,"vegetable oil, pork, garlic, white rice, garlic salt, black pepper","vegetable oil, pork, garlic, white rice, garlic salt, black pepper"
Malaysian Chicken Satay,"chicken breasts, onions, brown sugar, garlic, shrimp paste, galangal powder, coriander, cumin, anise seed, black pepper, turmeric, bamboo skewers","chicken breast, onion, brown sugar, garlic, shrimp paste, galangal powder, coriander, cumin, anise seed, black pepper, turmeric, bamboo skewer"
Vegan Mofongo (Fried Mashed Plantains),"green plantains, tomato sauce, cilantro, sofrito, olive oil, garlic, sazon seasoning, vegetable broth","green plantain, tomato sauce, cilantro, sofrito, olive oil, garlic, sazon seasoning, vegetable broth"
Apple Danish Bars,"egg, all-purpose flour, salt, shortening, milk, apples, brown sugar, sour cream, all-purpose flour, butter, cinnamon","egg, all purpose flour, salt, shortening, milk, apple, brown sugar, sour cream, butter, cinnamon"
Creamy Israeli-Style Hummus,"chickpeas, olive oil, peanut butter, lemon juice, sesame oil, cumin, onion powder, salt, garlic, green onions","chickpea, olive oil, peanut butter, lemon juice, sesame oil, cumin, onion powder, salt, garlic, green onion"
A Number-One Egg Bread,"active dry yeast, water, egg yolks, eggs, vegetable oil, sugar, salt, all-purpose flour, salt","active dry yeast, water, egg yolk, egg, vegetable oil, sugar, salt, all purpose flour"
Vegan Turkish Baked Eggplant,"eggplants, salt, extra-virgin olive oil, onion, red bell pepper, garlic, sun-dried tomatoes, tomato paste, red wine vinegar, white sugar, black pepper, pine nuts, cilantro leaves","eggplant, salt, extra virgin olive oil, onion, red bell pepper, garlic, sun dried tomato, tomato paste, red wine vinegar, white sugar, black pepper, pine nut, cilantro leaf"
Brazilian Black Bean Stew,"canola oil, chorizo sausage, ham, onion, garlic, sweet potatoes, red bell pepper, tomatoes, green chile pepper, water, black beans, mango, cilantro, salt","canola oil, chorizo sausage, ham, onion, garlic, sweet potato, red bell pepper, tomato, green chile pepper, water, black bean, mango, cilantro, salt"
Argentinean Potato Salad,"russet potatoes, eggs, mixed vegetables, mayonnaise, pimiento-stuffed olives, lemon juice, black pepper, mustard, dill weed, salt","russet potato, egg, mixed vegetable, mayonnaise, pimiento stuffed olive, lemon juice, black pepper, mustard, dill weed, salt"
Spanish Garlic Shrimp (Gambas al Ajillo),"shrimp, smoked paprika, kosher salt, garlic, extra-virgin olive oil, sherry, Italian flat-leaf parsley","shrimp, smoked paprika, salt, garlic, extra virgin olive oil, sherry, italian flat leaf parsley"
Portuguese Custard Tarts - Pasteis de Nata,"milk, cornstarch, vanilla bean, sugar, egg yolks, puff pastry","milk, cornstarch, vanilla bean, sugar, egg yolk, puff pastry"
Homemade Za&#39;atar,"sesame seeds, thyme leaves, sumac, salt","sesame seed, thyme leaf, sumac, salt"
Kongnamool (Korean Soybean Sprouts),"soybean sprouts, sesame oil, soy sauce, Korean chile powder, sesame seeds, garlic, green onion, rice wine vinegar","soybean sprout, sesame oil, soy sauce, korean chile powder, sesame seed, garlic, green onion, rice wine vinegar"
Chef John&#39;s Bigos (Polish Hunter&#39;s Stew),"porcini mushrooms, water, unsalted butter, green cabbage, sauerkraut, bacon, pork shoulder, beef chuck, Polish sausage, onion, prunes, red wine, paprika, thyme, bay leaf, caraway seeds, allspice, black pepper, salt","porcini mushroom, water, unsalted butter, green cabbage, sauerkraut, bacon, pork shoulder, beef chuck, polish sausage, onion, prune, red wine, paprika, thyme, bay leaf, caraway seed, allspice, black pepper, salt"
Chef John&#39;s Beef Rendang,"beef chuck, shallots, garlic, ginger, galangal, serrano chile peppers, Fresno chile pepper, Korean red pepper flakes, coriander, turmeric, cardamom, nutmeg, vegetable oil, coconut milk, tamarind paste, brown sugar, lemongrass","beef chuck, shallot, garlic, ginger, galangal, serrano chile pepper, fresno chile pepper, korean red pepper flake, coriander, turmeric, cardamom, nutmeg, vegetable oil, coconut milk, tamarind paste, brown sugar, lemongrass"
Crispy Vegetable Pakoras,"chickpea flour, garlic, salt, coriander, turmeric, chili powder, garam masala, water, oil, cauliflower, onions","chickpea flour, garlic, salt, coriander, turmeric, chili powder, garam masala, water, oil, cauliflower, onion"
Chef John&#39;s Brazilian Fish Stew,"water, white rice, olive oil, yellow onion, salt, tomato paste, garlic, paprika, cumin, cayenne pepper, coconut milk, soy sauce, bell pepper, jalapeno peppers, green onion, sea bass fillets, salt, cilantro leaves, lime juice","water, white rice, olive oil, yellow onion, salt, tomato paste, garlic, paprika, cumin, cayenne pepper, coconut milk, soy sauce, bell pepper, jalapeno pepper, green onion, sea bass fillet, cilantro leaf, lime juice"
Indian Saag,"butter, turmeric, cumin seed, green chile pepper, garlic, mustard greens, spinach, cumin, coriander, salt","butter, turmeric, cumin seed, green chile pepper, garlic, mustard green, spinach, cumin, coriander, salt"
Leche Asada,"milk, lemon, cinnamon sticks, eggs, sugar, pisco","milk, lemon, cinnamon stick, egg, sugar, pisco"
Homemade Arepas,"water, salt, white cornmeal, vegetable oil","water, salt, white cornmeal, vegetable oil"
Bayy&#39;s Special Jamaican-Style Oxtail,"beef oxtail, onion, thyme, browning sauce, scallions, red pepper flakes, ginger root, allspice, garlic, bay leaves, beef broth, water, tomato paste, butter beans","beef oxtail, onion, thyme, browning sauce, scallion, red pepper flake, ginger root, allspice, garlic, bay leaf, beef broth, water, tomato paste, butter bean"
Peruvian Potato-Chicken Salad (Causa Rellena),"chicken breast, green peas, carrot, shallot, red peppers, cilantro, lime juice, mayonnaise, Yukon Gold potatoes, aji amarillo chili paste, olive oil, lime, cayenne pepper, salt, avocado, mayonnaise, sour cream, garlic, aji amarillo chili paste, water","chicken breast, green pea, carrot, shallot, red pepper, cilantro, lime juice, mayonnaise, yukon gold potato, aji amarillo chile paste, olive oil, lime, cayenne pepper, salt, avocado, sour cream, garlic, water"
Cuban Black Beans II,"black beans, olive oil, onion, green bell pepper, garlic, water, tomato paste, pimentos, vinegar, salt, sugar, black pepper","black bean, olive oil, onion, green bell pepper, garlic, water, tomato paste, pimento, vinegar, salt, sugar, black pepper"
